Stops,No,Driver,Car,Lap,Time of day,Time,Total
1,10,Pierre GaslyGAS,Scuderia Toro Rosso Honda,1,17:15:34,1:17.467,1:17.467
1,18,Lance StrollSTR,Racing Point BWT Mercedes,5,17:22:34,28.842,28.842
1,4,Lando NorrisNOR,McLaren Renault,8,17:27:40,22.974,22.974
1,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,8,17:27:52,21.977,21.977
1,3,Daniel RicciardoRIC,Renault,11,17:32:58,21.904,21.904
1,16,Charles LeclercLEC,Ferrari,12,17:34:14,21.697,21.697
1,5,Sebastian VettelVET,Ferrari,12,17:34:22,25.771,25.771
1,55,Carlos SainzSAI,McLaren Renault,12,17:34:43,21.928,21.928
1,23,Alexander AlbonALB,Red Bull Racing Honda,13,17:36:11,22.028,22.028
1,27,Nico HulkenbergHUL,Renault,18,17:45:13,21.578,21.578
1,8,Romain GrosjeanGRO,Haas Ferrari,18,17:45:37,21.968,21.968
1,20,Kevin MagnussenMAG,Haas Ferrari,20,17:48:59,21.531,21.531
1,7,Kimi RäikkönenRAI,Alfa Romeo Racing Ferrari,22,17:52:32,22.410,22.410
2,18,Lance StrollSTR,Racing Point BWT Mercedes,23,17:54:47,21.778,50.620
1,88,Robert KubicaKUB,Williams Mercedes,24,17:56:31,21.688,21.688
1,33,Max VerstappenVER,Red Bull Racing Honda,25,17:56:36,21.023,21.023
1,44,Lewis HamiltonHAM,Mercedes,26,17:58:06,22.178,22.178
2,99,Antonio GiovinazziGIO,Alfa Romeo Racing Ferrari,26,18:00:00,22.188,44.165
1,77,Valtteri BottasBOT,Mercedes,29,18:04:02,21.145,21.145
1,63,George RussellRUS,Williams Mercedes,32,18:10:43,22.272,22.272
1,11,Sergio PerezPER,Racing Point BWT Mercedes,37,18:18:24,22.230,22.230
2,16,Charles LeclercLEC,Ferrari,38,18:19:14,21.274,42.971
2,5,Sebastian VettelVET,Ferrari,38,18:19:36,21.858,47.629
1,26,Daniil KvyatKVY,Scuderia Toro Rosso Honda,40,18:23:38,21.496,21.496
2,55,Carlos SainzSAI,McLaren Renault,41,18:25:36,21.466,43.394
2,3,Daniel RicciardoRIC,Renault,42,18:27:24,21.624,43.528
