Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,22,Lewis HamiltonHAM,McLaren Mercedes,1:35.566,1:34.947,1:36.303,15
2,1,Kimi RäikkönenRAI,Ferrari,1:35.983,1:35.355,1:36.645,15
3,2,Felipe MassaMAS,Ferrari,1:35.971,1:35.135,1:36.889,16
4,5,Fernando AlonsoALO,Renault,1:35.769,1:35.461,1:36.927,18
5,23,Heikki KovalainenKOV,McLaren Mercedes,1:35.623,1:35.216,1:36.930,16
6,10,Mark WebberWEB,Red Bull Renault,1:36.238,1:35.686,1:37.083,19
7,3,Nick HeidfeldHEI,Sauber BMW,1:36.224,1:35.403,1:37.201,17
8,15,Sebastian VettelVET,STR Ferrari,1:35.752,1:35.386,1:37.685,16
9,11,Jarno TrulliTRU,Toyota,1:36.104,1:35.715,1:37.934,19
10,14,Sebastien BourdaisBOU,STR Ferrari,1:36.239,1:35.478,1:38.885,18
11,6,Nelson PiquetPIQ,Renault,1:36.029,1:35.722,,12
12,4,Robert KubicaKUB,Sauber BMW,1:36.503,1:35.814,,14
13,12,Timo GlockGLO,Toyota,1:36.210,1:35.937,,16
14,17,Rubens BarrichelloBAR,Honda,1:36.640,1:36.079,,15
15,7,Nico RosbergROS,Williams Toyota,1:36.434,1:36.210,,15
16,9,David CoulthardCOU,Red Bull Renault,1:36.731,,,7
17,8,Kazuki NakajimaNAK,Williams Toyota,1:36.863,,,9
18,16,Jenson ButtonBUT,Honda,1:37.053,,,9
19,20,Adrian SutilSUT,Force India Ferrari,1:37.730,,,9
20,21,Giancarlo FisichellaFIS,Force India Ferrari,1:37.739,,,9
