Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,2,Felipe MassaMAS,Ferrari,1:11.830,1:11.875,1:12.368,17
2,11,Jarno TrulliTRU,Toyota,1:12.226,1:12.107,1:12.737,15
3,1,Kimi RäikkönenRAI,Ferrari,1:12.083,1:11.950,1:12.825,19
4,22,Lewis HamiltonHAM,McLaren Mercedes,1:12.213,1:11.856,1:12.830,14
5,23,Heikki KovalainenKOV,McLaren Mercedes,1:12.366,1:11.768,1:12.917,17
6,5,Fernando AlonsoALO,Renault,1:12.214,1:12.090,1:12.967,18
7,15,Sebastian VettelVET,STR Ferrari,1:12.390,1:11.845,1:13.082,20
8,3,Nick HeidfeldHEI,Sauber BMW,1:12.371,1:12.026,1:13.297,18
9,14,Sebastien BourdaisBOU,STR Ferrari,1:12.498,1:12.075,1:14.105,16
10,12,Timo GlockGLO,Toyota,1:12.223,1:11.909,1:14.230,24
11,6,Nelson PiquetPIQ,Renault,1:12.348,1:12.137,,13
12,10,Mark WebberWEB,Red Bull Renault,1:12.409,1:12.289,,13
13,4,Robert KubicaKUB,Sauber BMW,1:12.381,1:12.300,,13
14,9,David CoulthardCOU,Red Bull Renault,1:12.690,1:12.717,,16
15,17,Rubens BarrichelloBAR,Honda,1:12.548,1:13.139,,14
16,8,Kazuki NakajimaNAK,Williams Toyota,1:12.800,,,9
17,16,Jenson ButtonBUT,Honda,1:12.810,,,9
18,7,Nico RosbergROS,Williams Toyota,1:13.002,,,8
19,21,Giancarlo FisichellaFIS,Force India Ferrari,1:13.426,,,9
20,20,Adrian SutilSUT,Force India Ferrari,1:13.508,,,9
