Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,22,Lewis HamiltonHAM,McLaren Mercedes,1:46.887,1:46.088,1:47.338,12
2,2,Felipe MassaMAS,Ferrari,1:46.873,1:46.391,1:47.678,16
3,23,Heikki KovalainenKOV,McLaren Mercedes,1:46.812,1:46.037,1:47.815,16
4,1,Kimi RäikkönenRAI,Ferrari,1:46.960,1:46.298,1:47.992,14
5,3,Nick HeidfeldHEI,Sauber BMW,1:47.419,1:46.311,1:48.315,18
6,5,Fernando AlonsoALO,Renault,1:47.154,1:46.491,1:48.504,18
7,10,Mark WebberWEB,Red Bull Renault,1:47.270,1:46.814,1:48.736,19
8,4,Robert KubicaKUB,Sauber BMW,1:47.093,1:46.494,1:48.763,20
9,14,Sebastien BourdaisBOU,STR Ferrari,1:46.777,1:46.544,1:48.951,19
10,15,Sebastian VettelVET,STR Ferrari,1:47.152,1:46.804,1:50.319,16
11,11,Jarno TrulliTRU,Toyota,1:47.400,1:46.949,,13
12,6,Nelson PiquetPIQ,Renault,1:47.052,1:46.965,,15
13,12,Timo GlockGLO,Toyota,1:47.359,1:46.995,,13
14,9,David CoulthardCOU,Red Bull Renault,1:47.132,1:47.018,,15
15,7,Nico RosbergROS,Williams Toyota,1:47.503,1:47.429,,12
16,17,Rubens BarrichelloBAR,Honda,1:48.153,,,9
17,16,Jenson ButtonBUT,Honda,1:48.211,,,9
18,20,Adrian SutilSUT,Force India Ferrari,1:48.226,,,9
19,8,Kazuki NakajimaNAK,Williams Toyota,1:48.268,,,9
20,21,Giancarlo FisichellaFIS,Force India Ferrari,1:48.447,,,9
