Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,4,Robert KubicaKUB,Sauber BMW,1:32.893,1:31.745,1:33.096,12
2,2,Felipe MassaMAS,Ferrari,1:31.937,1:31.188,1:33.123,12
3,22,Lewis HamiltonHAM,McLaren Mercedes,1:32.750,1:31.922,1:33.292,13
4,1,Kimi RäikkönenRAI,Ferrari,1:32.652,1:31.933,1:33.418,12
5,23,Heikki KovalainenKOV,McLaren Mercedes,1:33.057,1:31.718,1:33.488,12
6,3,Nick HeidfeldHEI,Sauber BMW,1:33.137,1:31.909,1:33.737,15
7,11,Jarno TrulliTRU,Toyota,1:32.493,1:32.159,1:33.994,19
8,7,Nico RosbergROS,Williams Toyota,1:32.903,1:32.185,1:34.015,22
9,16,Jenson ButtonBUT,Honda,1:32.793,1:32.362,1:35.057,17
10,5,Fernando AlonsoALO,Renault,1:32.947,1:32.345,1:35.115,17
11,10,Mark WebberWEB,Red Bull Renault,1:33.194,1:32.371,,12
12,17,Rubens BarrichelloBAR,Honda,1:32.944,1:32.508,,12
13,12,Timo GlockGLO,Toyota,1:32.800,1:32.528,,15
14,6,Nelson PiquetPIQ,Renault,1:32.975,1:32.790,,15
15,14,Sebastien BourdaisBOU,STR Ferrari,1:33.415,1:32.915,,15
16,8,Kazuki NakajimaNAK,Williams Toyota,1:33.386,1:32.943,,15
17,9,David CoulthardCOU,Red Bull Renault,1:33.433,,,7
18,21,Giancarlo FisichellaFIS,Force India Ferrari,1:33.501,,,5
19,15,Sebastian VettelVET,STR Ferrari,1:33.562,,,9
20,20,Adrian SutilSUT,Force India Ferrari,1:33.845,,,6
21,19,Anthony DavidsonDAV,Super Aguri Honda,1:34.140,,,9
22,18,Takuma SatoSAT,Super Aguri Honda,1:35.725,,,5
