Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,1,Kimi RäikkönenRAI,Ferrari,1:20.701,1:20.784,1:21.813,17
2,5,Fernando AlonsoALO,Renault,1:21.347,1:20.804,1:21.904,18
3,2,Felipe MassaMAS,Ferrari,1:21.528,1:20.584,1:22.058,16
4,4,Robert KubicaKUB,Sauber BMW,1:21.423,1:20.597,1:22.065,13
5,22,Lewis HamiltonHAM,McLaren Mercedes,1:21.366,1:20.825,1:22.096,14
6,23,Heikki KovalainenKOV,McLaren Mercedes,1:21.430,1:20.817,1:22.231,15
7,10,Mark WebberWEB,Red Bull Renault,1:21.494,1:20.984,1:22.429,19
8,11,Jarno TrulliTRU,Toyota,1:21.158,1:20.907,1:22.529,19
9,3,Nick HeidfeldHEI,Sauber BMW,1:21.466,1:20.815,1:22.542,20
10,6,Nelson PiquetPIQ,Renault,1:21.409,1:20.894,1:22.699,18
11,17,Rubens BarrichelloBAR,Honda,1:21.548,1:21.049,,12
12,8,Kazuki NakajimaNAK,Williams Toyota,1:21.690,1:21.117,,15
13,16,Jenson ButtonBUT,Honda,1:21.757,1:21.211,,12
14,12,Timo GlockGLO,Toyota,1:21.427,1:21.230,,16
15,7,Nico RosbergROS,Williams Toyota,1:21.472,1:21.349,,15
16,14,Sebastien BourdaisBOU,STR Ferrari,1:21.540,1:21.724,,15
17,9,David CoulthardCOU,Red Bull Renault,1:21.810,,,6
18,15,Sebastian VettelVET,STR Ferrari,1:22.108,,,10
19,21,Giancarlo FisichellaFIS,Force India Ferrari,1:22.516,,,11
20,20,Adrian SutilSUT,Force India Ferrari,1:23.224,,,8
21,19,Anthony DavidsonDAV,Super Aguri Honda,1:23.318,,,9
22,18,Takuma SatoSAT,Super Aguri Honda,1:23.496,,,9
