Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,22,Lewis HamiltonHAM,McLaren Mercedes,1:15.218,1:14.603,1:15.666,13
2,2,Felipe MassaMAS,Ferrari,1:14.921,1:14.747,1:15.859,16
3,23,Heikki KovalainenKOV,McLaren Mercedes,1:15.476,1:14.855,1:16.143,17
4,11,Jarno TrulliTRU,Toyota,1:15.560,1:15.122,1:16.191,21
5,5,Fernando AlonsoALO,Renault,1:15.917,1:14.943,1:16.385,19
6,1,Kimi RäikkönenRAI,Ferrari,1:15.201,1:14.949,1:16.389,19
7,4,Robert KubicaKUB,Sauber BMW,1:15.985,1:15.109,1:16.521,20
8,10,Mark WebberWEB,Red Bull Renault,1:15.900,1:15.481,1:17.014,20
9,15,Sebastian VettelVET,STR Ferrari,1:15.532,1:15.420,1:17.244,22
10,9,David CoulthardCOU,Red Bull Renault,1:15.975,1:15.338,1:17.503,20
11,12,Timo GlockGLO,Toyota,1:15.560,1:15.508,,17
12,3,Nick HeidfeldHEI,Sauber BMW,1:15.596,1:15.581,,14
13,7,Nico RosbergROS,Williams Toyota,1:15.863,1:15.633,,16
14,16,Jenson ButtonBUT,Honda,1:15.993,1:15.701,,15
15,14,Sebastien BourdaisBOU,STR Ferrari,1:15.927,1:15.858,,15
16,8,Kazuki NakajimaNAK,Williams Toyota,1:16.083,,,10
17,6,Nelson PiquetPIQ,Renault,1:16.189,,,7
18,17,Rubens BarrichelloBAR,Honda,1:16.246,,,10
19,20,Adrian SutilSUT,Force India Ferrari,1:16.657,,,10
20,21,Giancarlo FisichellaFIS,Force India Ferrari,1:16.963,,,10
