Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,22,Lewis HamiltonHAM,McLaren Mercedes,1:26.572,1:25.187,1:26.714,14
2,4,Robert KubicaKUB,Sauber BMW,1:26.103,1:25.315,1:26.869,15
3,23,Heikki KovalainenKOV,McLaren Mercedes,1:25.664,1:25.452,1:27.079,13
4,2,Felipe MassaMAS,Ferrari,1:25.994,1:25.691,1:27.178,12
5,3,Nick HeidfeldHEI,Sauber BMW,1:25.960,1:25.518,1:27.236,16
6,11,Jarno TrulliTRU,Toyota,1:26.427,1:26.101,1:28.527,17
7,7,Nico RosbergROS,Williams Toyota,1:26.295,1:26.059,1:28.687,21
8,9,David CoulthardCOU,Red Bull Renault,1:26.381,1:26.063,1:29.041,18
9,12,Timo GlockGLO,Toyota,1:26.919,1:26.164,1:29.593,17
10,15,Sebastian VettelVET,STR Ferrari,1:26.702,1:25.842,DNF,18
11,17,Rubens BarrichelloBAR,Honda,1:26.369,1:26.173,,13
12,5,Fernando AlonsoALO,Renault,1:26.907,1:26.188,,10
13,16,Jenson ButtonBUT,Honda,1:26.712,1:26.259,,13
14,8,Kazuki NakajimaNAK,Williams Toyota,1:26.891,1:26.413,,13
15,10,Mark WebberWEB,Red Bull Renault,1:26.914,DNF,,8
16,1,Kimi RäikkönenRAI,Ferrari,1:26.140,,,3
17,21,Giancarlo FisichellaFIS,Force India Ferrari,1:27.207,,,9
18,14,Sebastien BourdaisBOU,STR Ferrari,1:27.446,,,10
19,20,Adrian SutilSUT,Force India Ferrari,1:27.859,,,9
20,18,Takuma SatoSAT,Super Aguri Honda,1:28.208,,,9
21,6,Nelson PiquetPIQ,Renault,1:28.330,,,6
22,19,Anthony DavidsonDAV,Super Aguri Honda,1:29.059,,,9
