Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,22,Lewis HamiltonHAM,McLaren Mercedes,1:16.909,1:17.034,1:17.886,19
2,4,Robert KubicaKUB,Sauber BMW,1:17.471,1:17.679,1:18.498,14
3,1,Kimi RäikkönenRAI,Ferrari,1:17.301,1:17.364,1:18.735,23
4,5,Fernando AlonsoALO,Renault,1:17.415,1:17.488,1:18.746,22
5,7,Nico RosbergROS,Williams Toyota,1:17.991,1:17.891,1:18.844,26
6,2,Felipe MassaMAS,Ferrari,1:17.231,1:17.353,1:19.048,23
7,23,Heikki KovalainenKOV,McLaren Mercedes,1:17.287,1:17.684,1:19.089,25
8,3,Nick HeidfeldHEI,Sauber BMW,1:18.082,1:17.781,1:19.633,21
9,17,Rubens BarrichelloBAR,Honda,1:18.256,1:18.020,1:20.848,25
10,10,Mark WebberWEB,Red Bull Renault,1:17.582,1:17.523,,15
11,12,Timo GlockGLO,Toyota,1:18.321,1:18.031,,19
12,8,Kazuki NakajimaNAK,Williams Toyota,1:17.638,1:18.062,,19
13,9,David CoulthardCOU,Red Bull Renault,1:18.168,1:18.238,,19
14,11,Jarno TrulliTRU,Toyota,1:18.039,1:18.327,,16
15,6,Nelson PiquetPIQ,Renault,1:18.505,1:18.393,,18
16,14,Sebastien BourdaisBOU,STR Ferrari,1:18.916,,,10
17,20,Adrian SutilSUT,Force India Ferrari,1:19.108,,,12
18,21,Giancarlo FisichellaFIS,Force India Ferrari,1:19.165,,,12
19,16,Jenson ButtonBUT,Honda,1:23.565,,,3
