Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,2,Felipe MassaMAS,Ferrari,1:44.519,1:44.014,1:44.801,16
2,22,Lewis HamiltonHAM,McLaren Mercedes,1:44.501,1:44.932,1:45.465,14
3,1,Kimi RäikkönenRAI,Ferrari,1:44.282,1:44.232,1:45.617,16
4,4,Robert KubicaKUB,Sauber BMW,1:44.740,1:44.519,1:45.779,18
5,23,Heikki KovalainenKOV,McLaren Mercedes,1:44.311,1:44.207,1:45.873,19
6,3,Nick HeidfeldHEI,Sauber BMW,1:45.548,1:44.520,1:45.964,19
7,15,Sebastian VettelVET,STR Ferrari,1:45.042,1:44.261,1:46.244,15
8,12,Timo GlockGLO,Toyota,1:45.184,1:44.441,1:46.328,21
9,7,Nico RosbergROS,Williams Toyota,1:45.103,1:44.429,1:46.611,17
10,8,Kazuki NakajimaNAK,Williams Toyota,1:45.127,1:44.826,1:47.547,20
11,11,Jarno TrulliTRU,Toyota,1:45.642,1:45.038,,12
12,16,Jenson ButtonBUT,Honda,1:45.660,1:45.133,,14
13,10,Mark WebberWEB,Red Bull Renault,1:45.493,1:45.212,,12
14,9,David CoulthardCOU,Red Bull Renault,1:46.028,1:45.298,,16
15,5,Fernando AlonsoALO,Renault,1:44.971,DNS,,6
16,6,Nelson PiquetPIQ,Renault,1:46.037,,,6
17,14,Sebastien BourdaisBOU,STR Ferrari,1:46.389,,,6
18,17,Rubens BarrichelloBAR,Honda,1:46.583,,,7
19,20,Adrian SutilSUT,Force India Ferrari,1:47.940,,,10
20,21,Giancarlo FisichellaFIS,Force India Ferrari,DNF,,,2
