Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,23,Heikki KovalainenKOV,McLaren Mercedes,1:19.957,1:19.597,1:21.049,15
2,10,Mark WebberWEB,Red Bull Renault,1:20.982,1:19.710,1:21.554,16
3,1,Kimi RäikkönenRAI,Ferrari,1:20.370,1:19.971,1:21.706,18
4,22,Lewis HamiltonHAM,McLaren Mercedes,1:20.288,1:19.537,1:21.835,13
5,3,Nick HeidfeldHEI,Sauber BMW,1:21.022,1:19.802,1:21.873,16
6,5,Fernando AlonsoALO,Renault,1:20.998,1:19.992,1:22.029,15
7,6,Nelson PiquetPIQ,Renault,1:20.818,1:20.115,1:22.491,19
8,15,Sebastian VettelVET,STR Ferrari,1:20.318,1:20.109,1:23.251,16
9,2,Felipe MassaMAS,Ferrari,1:20.676,1:20.086,1:23.305,16
10,4,Robert KubicaKUB,Sauber BMW,1:20.444,1:19.788,DNF,12
11,9,David CoulthardCOU,Red Bull Renault,1:21.224,1:20.174,,14
12,12,Timo GlockGLO,Toyota,1:20.893,1:20.274,,14
13,14,Sebastien BourdaisBOU,STR Ferrari,1:20.584,1:20.531,,16
14,11,Jarno TrulliTRU,Toyota,1:21.145,1:20.601,,13
15,8,Kazuki NakajimaNAK,Williams Toyota,1:21.407,1:21.112,,14
16,17,Rubens BarrichelloBAR,Honda,1:21.512,,,9
17,16,Jenson ButtonBUT,Honda,1:21.631,,,11
18,7,Nico RosbergROS,Williams Toyota,1:21.668,,,6
19,20,Adrian SutilSUT,Force India Ferrari,1:21.786,,,9
20,21,Giancarlo FisichellaFIS,Force India Ferrari,1:21.885,,,8
