Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:40.380,1:35.179,1:35.766,21
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:45.086,1:36.410,1:37.386,19
3,22,Jenson ButtonBUT,McLaren Mercedes,1:44.425,1:36.579,1:38.200,24
4,27,Nico HulkenbergHUL,Force India Mercedes,1:41.271,1:37.112,1:38.329,19
5,20,Kevin MagnussenMAG,McLaren Mercedes,1:42.507,1:37.370,1:38.417,23
6,44,Lewis HamiltonHAM,Mercedes,1:41.058,1:34.870,1:39.232,19
7,11,Sergio PerezPER,Force India Mercedes,1:42.146,1:37.350,1:40.457,20
8,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:44.710,1:38.166,1:40.606,18
9,26,Daniil KvyatKVY,STR Renault,1:41.032,1:36.813,1:40.707,21
10,25,Jean-Eric VergneVER,STR Renault,1:43.040,1:37.800,1:40.855,21
11,8,Romain GrosjeanGRO,Lotus Renault,1:43.121,1:38.496,,17
12,17,Jules BianchiBIA,Marussia Ferrari,1:41.169,1:38.709,,17
13,4,Max ChiltonCHI,Marussia Ferrari,1:42.082,1:39.800,,14
14,21,Esteban Gutierrez GUT,Sauber Ferrari,1:43.285,1:40.912,,16
EX,13,Pastor MaldonadoMAL,Lotus Renault,1:43.892,1:44.018,,15
15,99,Adrian SutilSUT,Sauber Ferrari,1:42.603,,,8
16,77,Valtteri BottasBOT,Williams Mercedes,1:45.318,,,5
17,19,Felipe MassaMAS,Williams Mercedes,1:45.695,,,5
18,14,Fernando AlonsoALO,Ferrari,1:45.935,,,6
19,7,Kimi RäikkönenRAI,Ferrari,1:46.684,,,7
NC,9,Marcus EricssonERI,Caterham Renault,1:49.421,,,7
NC,10,Kamui KobayashiKOB,Caterham Renault,1:49.625,,,6
