Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:38.759,1:38.338,1:38.513,18
2,6,Nico RosbergROS,Mercedes,1:39.076,1:38.606,1:38.713,18
3,77,Valtteri BottasBOT,Williams Mercedes,1:39.125,1:38.971,1:38.920,23
4,22,Jenson ButtonBUT,McLaren Mercedes,1:39.560,1:39.381,1:39.121,22
5,26,Daniil KvyatKVY,STR Renault,1:40.074,1:39.296,1:39.277,27
6,20,Kevin MagnussenMAG,McLaren Mercedes,1:39.735,1:39.022,1:39.629,21
7,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:40.519,1:39.666,1:39.635,21
8,14,Fernando AlonsoALO,Ferrari,1:40.255,1:39.786,1:39.709,25
9,7,Kimi RäikkönenRAI,Ferrari,1:40.098,1:39.838,1:39.771,26
10,25,Jean-Eric VergneVER,STR Renault,1:40.354,1:39.929,1:40.020,27
11,1,Sebastian VettelVET,Red Bull Racing Renault,1:40.382,1:40.052,,13
12,27,Nico HulkenbergHUL,Force India Mercedes,1:40.273,1:40.058,,16
13,11,Sergio PerezPER,Force India Mercedes,1:40.723,1:40.163,,13
14,21,Esteban Gutierrez GUT,Sauber Ferrari,1:41.159,1:40.536,,18
15,99,Adrian SutilSUT,Sauber Ferrari,1:40.766,1:40.984,,18
16,8,Romain GrosjeanGRO,Lotus Renault,1:42.526,1:41.397,,18
17,9,Marcus EricssonERI,Caterham Renault,1:42.648,,,9
18,19,Felipe MassaMAS,Williams Mercedes,1:43.064,,,8
19,10,Kamui KobayashiKOB,Caterham Renault,1:43.166,,,9
20,13,Pastor MaldonadoMAL,Lotus Renault,1:43.205,,,5
21,4,Max ChiltonCHI,Marussia Ferrari,1:43.649,,,10
