Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:17.678,1:16.465,1:15.989,26
2,44,Lewis HamiltonHAM,Mercedes,1:17.823,1:16.354,1:16.048,27
3,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:17.900,1:17.233,1:16.384,22
4,1,Sebastian VettelVET,Red Bull Racing Renault,1:18.383,1:17.074,1:16.547,25
5,14,Fernando AlonsoALO,Ferrari,1:17.853,1:17.200,1:16.686,27
6,7,Kimi RäikkönenRAI,Ferrari,1:17.902,1:17.398,1:17.389,27
7,25,Jean-Eric VergneVER,STR Renault,1:17.557,1:17.657,1:17.540,26
8,20,Kevin MagnussenMAG,McLaren Mercedes,1:17.978,1:17.609,1:17.555,25
9,26,Daniil KvyatKVY,STR Renault,1:18.616,1:17.594,1:18.090,23
10,11,Sergio PerezPER,Force India Mercedes,1:18.108,1:17.755,1:18.327,26
11,27,Nico HulkenbergHUL,Force India Mercedes,1:18.432,1:17.846,,20
12,22,Jenson ButtonBUT,McLaren Mercedes,1:17.890,1:17.988,,20
13,77,Valtteri BottasBOT,Williams Mercedes,1:18.407,1:18.082,,20
14,8,Romain GrosjeanGRO,Lotus Renault,1:18.335,1:18.196,,23
15,13,Pastor MaldonadoMAL,Lotus Renault,1:18.585,1:18.356,,21
16,19,Felipe MassaMAS,Williams Mercedes,1:18.209,,,10
17,21,Esteban Gutierrez GUT,Sauber Ferrari,1:18.741,,,11
18,99,Adrian SutilSUT,Sauber Ferrari,1:18.745,,,11
19,17,Jules BianchiBIA,Marussia Ferrari,1:19.332,,,10
20,4,Max ChiltonCHI,Marussia Ferrari,1:19.928,,,9
21,10,Kamui KobayashiKOB,Caterham Renault,1:20.133,,,9
22,9,Marcus EricssonERI,Caterham Renault,1:21.732,,,9
