Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:57.202,1:59.041,1:59.431,22
2,1,Sebastian VettelVET,Red Bull Racing Renault,1:57.654,1:59.399,1:59.486,20
3,6,Nico RosbergROS,Mercedes,1:57.183,1:59.445,2:00.050,23
4,14,Fernando AlonsoALO,Ferrari,1:58.889,2:01.356,2:00.175,22
5,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:58.913,2:00.147,2:00.541,20
6,7,Kimi RäikkönenRAI,Ferrari,1:59.257,2:01.532,2:01.218,21
7,27,Nico HulkenbergHUL,Force India Mercedes,1:58.883,2:00.839,2:01.712,23
8,20,Kevin MagnussenMAG,McLaren Mercedes,2:00.358,2:02.094,2:02.213,20
9,25,Jean-Eric VergneVER,STR Renault,2:01.689,2:02.096,2:03.078,23
10,22,Jenson ButtonBUT,McLaren Mercedes,2:00.889,2:01.810,2:04.053,22
11,26,Daniil KvyatKVY,STR Renault,2:01.175,2:02.351,,16
12,21,Esteban Gutierrez GUT,Sauber Ferrari,2:01.134,2:02.369,,16
13,19,Felipe MassaMAS,Williams Mercedes,2:00.047,2:02.460,,16
14,11,Sergio PerezPER,Force India Mercedes,2:00.076,2:02.511,,15
15,77,Valtteri BottasBOT,Williams Mercedes,1:59.709,2:02.756,,17
16,8,Romain GrosjeanGRO,Lotus Renault,2:00.202,2:02.885,,17
17,13,Pastor MaldonadoMAL,Lotus Renault,2:02.074,,,8
18,99,Adrian SutilSUT,Sauber Ferrari,2:02.131,,,7
19,17,Jules BianchiBIA,Marussia Ferrari,2:02.702,,,8
20,10,Kamui KobayashiKOB,Caterham Renault,2:03.595,,,8
21,4,Max ChiltonCHI,Marussia Ferrari,2:04.388,,,8
22,9,Marcus EricssonERI,Caterham Renault,2:04.407,,,7
