Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,19,Felipe MassaMAS,Williams Mercedes,1:10.292,1:09.239,1:08.759,19
2,77,Valtteri BottasBOT,Williams Mercedes,1:10.356,1:09.096,1:08.846,19
3,6,Nico RosbergROS,Mercedes,1:09.695,1:08.974,1:08.944,17
4,14,Fernando AlonsoALO,Ferrari,1:10.405,1:09.479,1:09.285,25
5,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:10.395,1:09.638,1:09.466,22
6,20,Kevin MagnussenMAG,McLaren Mercedes,1:10.081,1:09.473,1:09.515,29
7,26,Daniil KvyatKVY,STR Renault,1:09.678,1:09.490,1:09.619,21
8,7,Kimi RäikkönenRAI,Ferrari,1:10.285,1:09.657,1:10.795,23
9,44,Lewis HamiltonHAM,Mercedes,1:09.514,1:09.092,DNF,15
10,27,Nico HulkenbergHUL,Force India Mercedes,1:10.389,1:09.624,DNF,23
11,11,Sergio PerezPER,Force India Mercedes,1:10.124,1:09.754,,18
12,22,Jenson ButtonBUT,McLaren Mercedes,1:10.252,1:09.780,,22
13,1,Sebastian VettelVET,Red Bull Racing Renault,1:10.630,1:09.801,,15
14,13,Pastor MaldonadoMAL,Lotus Renault,1:10.821,1:09.939,,18
15,25,Jean-Eric VergneVER,STR Renault,1:10.161,1:10.073,,19
16,8,Romain GrosjeanGRO,Lotus Renault,1:10.461,1:10.642,,21
17,99,Adrian SutilSUT,Sauber Ferrari,1:10.825,,,10
18,21,Esteban Gutierrez GUT,Sauber Ferrari,1:11.349,,,10
19,17,Jules BianchiBIA,Marussia Ferrari,1:11.412,,,9
20,10,Kamui KobayashiKOB,Caterham Renault,1:11.673,,,10
21,4,Max ChiltonCHI,Marussia Ferrari,1:11.775,,,10
22,9,Marcus EricssonERI,Caterham Renault,1:12.673,,,11
