Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,6,Nico RosbergROS,Mercedes,1:38.303,1:36.290,1:36.067,20
2,44,Lewis HamiltonHAM,Mercedes,1:37.196,1:37.287,1:36.443,16
3,77,Valtteri BottasBOT,Williams Mercedes,1:38.249,1:37.499,1:36.906,19
4,19,Felipe MassaMAS,Williams Mercedes,1:37.877,1:37.347,1:37.205,20
5,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:38.814,1:37.873,1:37.244,17
6,14,Fernando AlonsoALO,Ferrari,1:38.349,1:38.010,1:37.610,16
7,22,Jenson ButtonBUT,McLaren Mercedes,1:38.574,1:38.024,1:37.655,17
8,20,Kevin MagnussenMAG,McLaren Mercedes,1:38.557,1:38.047,1:37.706,16
9,7,Kimi RäikkönenRAI,Ferrari,1:38.669,1:38.263,1:37.804,22
10,99,Adrian SutilSUT,Sauber Ferrari,1:38.855,1:38.378,1:38.810,15
11,13,Pastor MaldonadoMAL,Lotus Renault,1:38.608,1:38.467,,16
12,11,Sergio PerezPER,Force India Mercedes,1:39.200,1:38.554,,16
13,27,Nico HulkenbergHUL,Force India Mercedes,1:38.931,1:38.598,,16
14,26,Daniil KvyatKVY,STR Renault,1:38.936,1:38.699,,17
15,25,Jean-Eric VergneVER,STR Renault,1:39.250,,,10
16,21,Esteban Gutierrez GUT,Sauber Ferrari,1:39.555,,,10
17,1,Sebastian VettelVET,Red Bull Racing Renault,1:39.621,,,3
18,8,Romain GrosjeanGRO,Lotus Renault,1:39.679,,,8
