Pos,No,Driver,Car,Q1,Q2,Q3,Laps
1,44,Lewis HamiltonHAM,Mercedes,1:46.921,1:46.287,1:45.681,17
2,6,Nico RosbergROS,Mercedes,1:47.244,1:45.825,1:45.688,19
3,3,Daniel RicciardoRIC,Red Bull Racing Renault,1:47.488,1:46.493,1:45.854,12
4,1,Sebastian VettelVET,Red Bull Racing Renault,1:47.476,1:46.586,1:45.902,15
5,14,Fernando AlonsoALO,Ferrari,1:46.889,1:46.328,1:45.907,16
6,19,Felipe MassaMAS,Williams Mercedes,1:47.615,1:46.472,1:46.000,20
7,7,Kimi RäikkönenRAI,Ferrari,1:46.685,1:46.359,1:46.170,14
8,77,Valtteri BottasBOT,Williams Mercedes,1:47.196,1:46.622,1:46.187,18
9,20,Kevin MagnussenMAG,McLaren Mercedes,1:47.976,1:46.700,1:46.250,18
10,26,Daniil KvyatKVY,STR Renault,1:47.656,1:46.926,1:47.362,21
11,22,Jenson ButtonBUT,McLaren Mercedes,1:47.161,1:46.943,,12
12,25,Jean-Eric VergneVER,STR Renault,1:47.407,1:46.989,,14
13,27,Nico HulkenbergHUL,Force India Mercedes,1:47.370,1:47.308,,13
14,21,Esteban Gutierrez GUT,Sauber Ferrari,1:47.970,1:47.333,,9
15,11,Sergio PerezPER,Force India Mercedes,1:48.143,1:47.575,,13
16,8,Romain GrosjeanGRO,Lotus Renault,1:47.862,1:47.812,,14
17,99,Adrian SutilSUT,Sauber Ferrari,1:48.324,,,6
18,13,Pastor MaldonadoMAL,Lotus Renault,1:49.063,,,8
19,17,Jules BianchiBIA,Marussia Ferrari,1:49.440,,,7
20,10,Kamui KobayashiKOB,Caterham Renault,1:50.405,,,8
21,4,Max ChiltonCHI,Marussia Ferrari,1:50.473,,,7
22,9,Marcus EricssonERI,Caterham Renault,1:52.287,,,5
