Pos,No,Driver,Car,Lap,Time
1,5,Nelson PiquetPIQ,Brabham BMW,69,1:27.283
2,15,Alain ProstPRO,Renault,60,1:27.645
3,27,Patrick TambayTAM,Ferrari,55,1:27.911
4,6,Riccardo PatresePAT,Brabham BMW,48,1:27.922
5,35,Derek WarwickWAR,Toleman Hart,39,1:28.655
6,2,Jacques LaffiteLAF,Williams Honda,49,1:28.705
7,16,Eddie  CheeverCHE,Renault,21,1:28.719
8,1,Keke RosbergROS,Williams Honda,49,1:29.124
9,29,Marc SurerSUR,Arrows Ford,41,1:29.159
10,23,Mauro BaldiBAL,Alfa Romeo,43,1:29.757
11,11,Elio de AngelisDEA,Lotus Ford,39,1:30.159
12,30,Chico SerraSER,Arrows Ford,46,1:30.160
13,25,Jean-Pierre JarierJAR,Ligier Ford,17,1:30.635
14,4,Danny SullivanSUL,Tyrrell Ford,46,1:30.772
15,22,Andrea de CesarisDEC,Alfa Romeo,13,1:32.633
16,28,Rene ArnouxARN,Ferrari,4,1:44.184
17,9,Manfred WinkelhockWIN,ATS BMW,3,1:51.607
18,26,Raul BoeselBOE,Ligier Ford,3,1:52.126
