Pos,No,Driver,Car,Lap,Time
1,7,John WatsonWAT,McLaren TAG,55,1:47.668
2,1,Keke RosbergROS,Williams Honda,55,1:47.969
3,5,Nelson PiquetPIQ,Brabham BMW,46,1:48.332
4,3,Michele AlboretoALB,Tyrrell Ford,54,1:48.443
5,28,Rene ArnouxARN,Ferrari,23,1:48.934
6,2,Jacques LaffiteLAF,Williams Honda,28,1:49.252
7,25,Jean-Pierre JarierJAR,Ligier Ford,21,1:49.340
8,35,Derek WarwickWAR,Toleman Hart,20,1:49.351
9,22,Andrea de CesarisDEC,Alfa Romeo,27,1:49.423
10,29,Marc SurerSUR,Arrows Ford,57,1:49.809
11,12,Nigel MansellMAN,Lotus Ford,36,1:50.029
12,4,Danny SullivanSUL,Tyrrell Ford,26,1:50.088
13,36,Bruno GiacomelliGIA,Toleman Hart,41,1:50.150
14,30,Thierry BoutsenBOU,Arrows Ford,21,1:50.296
15,33,Roberto GuerreroGUE,Theodore Ford,36,1:50.351
16,15,Alain ProstPRO,Renault,29,1:50.555
17,8,Niki LaudaLAU,McLaren TAG,17,1:51.318
18,34,Johnny CecottoCEC,Theodore Ford,34,1:51.768
19,26,Raul BoeselBOE,Ligier Ford,56,1:51.804
20,6,Riccardo PatresePAT,Brabham BMW,6,1:52.031
21,9,Manfred WinkelhockWIN,ATS BMW,19,1:52.093
22,11,Elio de AngelisDEA,Lotus Ford,4,1:52.584
23,23,Mauro BaldiBAL,Alfa Romeo,44,1:53.198
24,16,Eddie  CheeverCHE,Renault,3,1:53.926
25,32,Piercarlo GhinzaniGHI,Osella Ford,4,1:55.000
