Pos,No,Driver,Car,Lap,Time
1,8,Niki LaudaLAU,McLaren TAG,42,1:28.330
2,28,Rene ArnouxARN,Ferrari,62,1:28.370
3,7,John WatsonWAT,McLaren TAG,41,1:28.652
4,15,Alain ProstPRO,Renault,67,1:28.717
5,3,Michele AlboretoALB,Tyrrell Ford,70,1:29.032
6,25,Jean-Pierre JarierJAR,Ligier Ford,8,1:29.264
7,6,Riccardo PatresePAT,Brabham BMW,40,1:29.718
8,16,Eddie  CheeverCHE,Renault,40,1:30.104
9,2,Jacques LaffiteLAF,Williams Honda,40,1:30.163
10,1,Keke RosbergROS,Williams Honda,4,1:30.256
11,5,Nelson PiquetPIQ,Brabham BMW,41,1:30.256
12,30,Alan  JonesJON,Arrows Ford,37,1:30.261
13,27,Patrick TambayTAM,Ferrari,12,1:30.370
14,4,Danny SullivanSUL,Tyrrell Ford,11,1:30.372
15,34,Johnny CecottoCEC,Theodore Ford,40,1:30.382
16,29,Marc SurerSUR,Arrows Ford,18,1:30.617
17,33,Roberto GuerreroGUE,Theodore Ford,8,1:30.645
18,35,Derek WarwickWAR,Toleman Hart,10,1:30.771
19,22,Andrea de CesarisDEC,Alfa Romeo,6,1:31.280
20,11,Elio de AngelisDEA,Lotus Ford,27,1:31.344
21,12,Nigel MansellMAN,Lotus Ford,22,1:31.883
22,23,Mauro BaldiBAL,Alfa Romeo,19,1:32.185
23,17,Eliseo SalazarSAL,RAM Ford,22,1:32.506
24,36,Bruno GiacomelliGIA,Toleman Hart,5,1:33.512
25,9,Manfred WinkelhockWIN,ATS BMW,3,1:33.792
26,26,Raul BoeselBOE,Ligier Ford,41,1:34.263
