Pos,No,Driver,Car,Lap,Time
1,15,Alain ProstPRO,Renault,20,1:33.961
2,27,Patrick TambayTAM,Ferrari,21,1:34.002
3,5,Nelson PiquetPIQ,Brabham BMW,18,1:34.004
4,28,Rene ArnouxARN,Ferrari,20,1:34.123
5,6,Riccardo PatresePAT,Brabham BMW,9,1:34.299
6,16,Eddie  CheeverCHE,Renault,50,1:34.351
7,22,Andrea de CesarisDEC,Alfa Romeo,25,1:34.929
8,12,Nigel MansellMAN,Lotus Ford,8,1:34.976
9,23,Mauro BaldiBAL,Alfa Romeo,12,1:35.514
10,9,Manfred WinkelhockWIN,ATS BMW,21,1:36.548
11,8,Niki LaudaLAU,McLaren TAG,39,1:37.552
12,7,John WatsonWAT,McLaren TAG,27,1:37.845
13,25,Jean-Pierre JarierJAR,Ligier Ford,45,1:38.074
14,1,Keke RosbergROS,Williams Honda,12,1:38.176
15,30,Thierry BoutsenBOU,Arrows Ford,45,1:38.586
16,3,Michele AlboretoALB,Tyrrell Ford,6,1:39.179
17,40,Stefan JohanssonJOH,Spirit Honda,6,1:39.450
18,2,Jacques LaffiteLAF,Williams Honda,10,1:39.952
19,33,Roberto GuerreroGUE,Theodore Ford,20,1:40.171
20,31,Corrado FabiFAB,Osella Ford,44,1:40.341
21,32,Piercarlo GhinzaniGHI,Osella Ford,19,1:42.189
22,35,Derek WarwickWAR,Toleman Hart,1,1:46.919
23,36,Bruno GiacomelliGIA,Toleman Hart,1,2:20.130
