Pos,No,Driver,Car,Lap,Time
1,28,Rene ArnouxARN,Ferrari,12,1:53.938
2,27,Patrick TambayTAM,Ferrari,8,1:54.365
3,5,Nelson PiquetPIQ,Brabham BMW,37,1:54.495
4,15,Alain ProstPRO,Renault,19,1:54.793
5,16,Eddie  CheeverCHE,Renault,19,1:55.031
6,22,Andrea de CesarisDEC,Alfa Romeo,17,1:55.311
7,6,Riccardo PatresePAT,Brabham BMW,11,1:55.510
8,23,Mauro BaldiBAL,Alfa Romeo,20,1:56.037
9,35,Derek WarwickWAR,Toleman Hart,14,1:56.271
10,11,Elio de AngelisDEA,Lotus Ford,5,1:56.295
11,8,Niki LaudaLAU,,10,1:57.297
12,7,John WatsonWAT,McLaren TAG,6,1:57.681
13,2,Jacques LaffiteLAF,Williams Honda,23,1:57.858
14,36,Bruno GiacomelliGIA,Toleman Hart,13,1:58.122
15,40,Stefan JohanssonJOH,Spirit Honda,11,1:58.251
16,25,Jean-Pierre JarierJAR,Ligier Ford,18,1:58.523
17,29,Marc SurerSUR,Arrows Ford,31,1:58.727
18,1,Keke RosbergROS,Williams Honda,7,1:59.092
19,3,Michele AlboretoALB,Tyrrell Ford,3,1:59.672
20,30,Thierry BoutsenBOU,Arrows Ford,25,1:59.689
21,34,Johnny CecottoCEC,Theodore Ford,25,2:00.147
22,4,Danny SullivanSUL,Tyrrell Ford,20,2:00.571
23,26,Raul BoeselBOE,Ligier Ford,22,2:01.823
24,32,Piercarlo GhinzaniGHI,Osella Ford,4,2:03.418
25,12,Nigel MansellMAN,Lotus Ford,1,2:12.136
