Pos,No,Driver,Car,Lap,Time
1,6,Riccardo PatresePAT,Brabham BMW,47,1:34.437
2,27,Patrick TambayTAM,Ferrari,47,1:35.516
3,5,Nelson PiquetPIQ,Brabham BMW,33,1:36.306
4,28,Rene ArnouxARN,Ferrari,35,1:36.423
5,15,Alain ProstPRO,Renault,13,1:36.833
6,22,Andrea de CesarisDEC,Alfa Romeo,24,1:37.214
7,29,Marc SurerSUR,Arrows Ford,45,1:37.718
8,1,Keke RosbergROS,Williams Honda,45,1:37.836
9,25,Jean-Pierre JarierJAR,Ligier Ford,33,1:38.026
10,23,Mauro BaldiBAL,Alfa Romeo,51,1:38.063
11,30,Chico SerraSER,Arrows Ford,44,1:38.366
12,7,John WatsonWAT,McLaren TAG,53,1:38.380
13,2,Jacques LaffiteLAF,Williams Honda,27,1:38.463
14,12,Nigel MansellMAN,Lotus Ford,24,1:38.466
15,11,Elio de AngelisDEA,Lotus Ford,14,1:38.615
16,8,Niki LaudaLAU,McLaren TAG,10,1:38.641
17,35,Derek WarwickWAR,Toleman Hart,27,1:39.069
18,3,Michele AlboretoALB,Tyrrell Ford,8,1:39.438
19,26,Raul BoeselBOE,Ligier Ford,51,1:39.480
20,4,Danny SullivanSUL,Tyrrell Ford,21,1:39.685
21,31,Corrado FabiFAB,Osella Ford,19,1:39.692
22,9,Manfred WinkelhockWIN,ATS BMW,50,1:39.903
23,36,Bruno GiacomelliGIA,Toleman Hart,16,1:39.917
24,34,Johnny CecottoCEC,Theodore Ford,10,1:41.961
25,33,Roberto GuerreroGUE,Theodore Ford,3,1:44.305
26,16,Eddie  CheeverCHE,Renault,1,1:51.645
