Pos,No,Driver,Car,Lap,Time
1,12,Nigel MansellMAN,Lotus Ford,70,1:14.342
2,15,Alain ProstPRO,Renault,73,1:14.616
3,35,Derek WarwickWAR,Toleman Hart,39,1:14.732
4,5,Nelson PiquetPIQ,Brabham BMW,38,1:14.778
5,36,Bruno GiacomelliGIA,Toleman Hart,64,1:14.877
6,22,Andrea de CesarisDEC,Alfa Romeo,72,1:14.905
7,28,Rene ArnouxARN,Ferrari,56,1:14.924
8,27,Patrick TambayTAM,Ferrari,48,1:14.933
9,6,Riccardo PatresePAT,Brabham BMW,56,1:15.107
10,16,Eddie  CheeverCHE,Renault,65,1:15.161
11,1,Keke RosbergROS,Williams Honda,36,1:15.260
12,3,Michele AlboretoALB,Tyrrell Ford,55,1:15.599
13,11,Elio de AngelisDEA,Lotus Ford,6,1:15.601
14,9,Manfred WinkelhockWIN,ATS BMW,35,1:15.710
15,7,John WatsonWAT,McLaren TAG,30,1:15.800
16,8,Niki LaudaLAU,McLaren TAG,22,1:15.957
17,30,Thierry BoutsenBOU,Arrows Ford,4,1:16.050
18,33,Roberto GuerreroGUE,Theodore Ford,59,1:16.279
19,23,Mauro BaldiBAL,Alfa Romeo,25,1:16.392
20,42,Jonathan  PalmerPAL,Williams Honda,26,1:16.794
21,29,Marc SurerSUR,Arrows Ford,35,1:17.039
22,40,Stefan JohanssonJOH,Spirit Honda,32,1:17.042
23,4,Danny SullivanSUL,Tyrrell Ford,27,1:17.222
24,32,Piercarlo GhinzaniGHI,Osella Ford,60,1:18.406
25,26,Raul BoeselBOE,Ligier Ford,53,1:18.698
