Pos,No,Driver,Car,Lap,Time
1,28,Rene ArnouxARN,Ferrari,33,1:19.863
2,27,Patrick TambayTAM,Ferrari,37,1:20.020
3,5,Nelson PiquetPIQ,Brabham BMW,4,1:20.235
4,15,Alain ProstPRO,Renault,33,1:20.331
5,6,Riccardo PatresePAT,Brabham BMW,61,1:20.807
6,22,Andrea de CesarisDEC,Alfa Romeo,4,1:20.900
7,35,Derek WarwickWAR,Toleman Hart,4,1:21.010
8,16,Eddie  CheeverCHE,Renault,4,1:21.153
9,7,John WatsonWAT,McLaren TAG,54,1:21.185
10,23,Mauro BaldiBAL,Alfa Romeo,21,1:21.326
11,12,Nigel MansellMAN,Lotus Ford,25,1:21.342
12,11,Elio de AngelisDEA,Lotus Ford,10,1:21.733
13,3,Michele AlboretoALB,Tyrrell Ford,61,1:21.753
14,9,Manfred WinkelhockWIN,,24,1:22.050
15,36,Bruno GiacomelliGIA,Toleman Hart,6,1:22.289
16,8,Niki LaudaLAU,McLaren TAG,12,1:22.462
17,40,Stefan JohanssonJOH,Spirit Honda,25,1:22.652
18,26,Raul BoeselBOE,Ligier Ford,28,1:23.151
19,1,Keke RosbergROS,Williams Honda,14,1:23.205
20,30,Thierry BoutsenBOU,Arrows Ford,20,1:23.387
21,29,Marc SurerSUR,Arrows Ford,31,1:23.482
22,33,Roberto GuerreroGUE,Theodore Ford,62,1:23.527
23,2,Jacques LaffiteLAF,Williams Honda,7,1:23.731
24,31,Corrado FabiFAB,Osella Ford,4,1:24.502
25,4,Danny SullivanSUL,Tyrrell Ford,15,1:24.638
26,25,Jean-Pierre JarierJAR,Ligier Ford,3,1:25.259
