Pos,No,Driver,Car,Lap,Time
1,22,Andrea de CesarisDEC,Alfa Romeo,17,2:07.493
2,15,Alain ProstPRO,Renault,20,2:07.787
3,5,Nelson PiquetPIQ,Brabham BMW,32,2:08.081
4,16,Eddie  CheeverCHE,Renault,22,2:08.332
5,36,Bruno GiacomelliGIA,Toleman Hart,16,2:08.941
6,27,Patrick TambayTAM,Ferrari,14,2:09.031
7,35,Derek WarwickWAR,Toleman Hart,17,2:09.224
8,1,Keke RosbergROS,Williams Honda,19,2:09.631
9,28,Rene ArnouxARN,Ferrari,18,2:09.639
10,9,Manfred WinkelhockWIN,ATS BMW,4,2:10.109
11,2,Jacques LaffiteLAF,Williams Honda,16,2:10.402
12,11,Elio de AngelisDEA,Lotus Ford,14,2:10.643
13,8,Niki LaudaLAU,McLaren TAG,29,2:10.899
14,23,Mauro BaldiBAL,Alfa Romeo,3,2:11.569
15,33,Roberto GuerreroGUE,Theodore Ford,23,2:12.327
16,34,Johnny CecottoCEC,Theodore Ford,15,2:12.520
17,3,Michele AlboretoALB,Tyrrell Ford,20,2:12.630
18,12,Nigel MansellMAN,Lotus Ford,17,2:12.665
19,31,Corrado FabiFAB,Osella Ford,19,2:13.029
20,29,Marc SurerSUR,Arrows Ford,15,2:13.364
21,25,Jean-Pierre JarierJAR,Ligier Ford,5,2:13.521
22,7,John WatsonWAT,McLaren TAG,6,2:13.640
23,4,Danny SullivanSUL,Tyrrell Ford,18,2:13.863
24,30,Thierry BoutsenBOU,Arrows Ford,2,2:14.040
25,26,Raul BoeselBOE,Ligier Ford,29,2:15.269
