Pos,No,Driver,Car,Lap,Time
1,5,Nelson PiquetPIQ,Brabham BMW,4,1:39.829
2,6,Riccardo PatresePAT,Brabham BMW,4,1:40.512
3,1,Keke RosbergROS,,3,1:40.523
4,8,Niki LaudaLAU,McLaren TAG,16,1:41.163
5,7,John WatsonWAT,McLaren TAG,20,1:41.547
6,16,Eddie  CheeverCHE,Renault,22,1:41.951
7,2,Jacques LaffiteLAF,Williams Honda,49,1:42.343
8,15,Alain ProstPRO,Renault,4,1:42.636
9,29,Marc SurerSUR,Arrows Ford,22,1:42.657
10,33,Roberto GuerreroGUE,Theodore Ford,49,1:42.849
11,27,Patrick TambayTAM,Ferrari,30,1:42.940
12,35,Derek WarwickWAR,Toleman Hart,44,1:43.037
13,12,Nigel MansellMAN,Lotus Ford,41,1:43.159
14,25,Jean-Pierre JarierJAR,Ligier Ford,4,1:43.193
15,34,Johnny CecottoCEC,Theodore Ford,48,1:43.241
16,3,Michele AlboretoALB,Tyrrell Ford,4,1:43.304
17,28,Rene ArnouxARN,Ferrari,5,1:43.426
18,23,Mauro BaldiBAL,Alfa Romeo,3,1:43.514
19,30,Chico SerraSER,Arrows Ford,58,1:43.900
20,26,Raul BoeselBOE,Ligier Ford,6,1:44.027
21,36,Bruno GiacomelliGIA,Toleman Hart,3,1:44.178
22,11,Elio de AngelisDEA,,7,1:44.367
23,31,Corrado FabiFAB,Osella Ford,12,1:44.476
24,4,Danny SullivanSUL,Tyrrell Ford,16,1:44.697
25,9,Manfred WinkelhockWIN,ATS BMW,46,1:45.355
26,17,Eliseo SalazarSAL,RAM Ford,42,1:45.681
