Pos,No,Driver,Car,Lap,Time
1,5,Nelson PiquetPIQ,Brabham BMW,6,1:09.948
2,8,Niki LaudaLAU,McLaren TAG,17,1:10.634
3,12,Nigel MansellMAN,Lotus Ford,60,1:10.825
4,6,Riccardo PatresePAT,Brabham BMW,8,1:10.848
5,15,Alain ProstPRO,Renault,9,1:11.166
6,27,Patrick TambayTAM,Ferrari,7,1:11.267
7,22,Andrea de CesarisDEC,Alfa Romeo,5,1:11.401
8,1,Keke RosbergROS,Williams Honda,51,1:11.656
9,16,Eddie  CheeverCHE,Renault,6,1:11.953
10,36,Bruno GiacomelliGIA,Toleman Hart,51,1:12.058
11,35,Derek WarwickWAR,Toleman Hart,11,1:12.102
12,28,Rene ArnouxARN,Ferrari,6,1:12.183
13,23,Mauro BaldiBAL,Alfa Romeo,4,1:12.686
14,11,Elio de AngelisDEA,Lotus Ford,16,1:12.709
15,7,John WatsonWAT,,17,1:13.194
16,4,Danny SullivanSUL,Tyrrell Ford,70,1:13.494
17,3,Michele AlboretoALB,Tyrrell Ford,50,1:13.507
18,29,Marc SurerSUR,Arrows Ford,60,1:14.489
19,30,Thierry BoutsenBOU,Arrows Ford,47,1:15.100
20,25,Jean-Pierre JarierJAR,Ligier Ford,18,1:15.144
21,26,Raul BoeselBOE,Ligier Ford,5,1:15.886
22,31,Corrado FabiFAB,Osella Ford,8,1:17.153
23,17,Kenny AchesonACH,RAM Ford,7,1:17.212
24,9,Manfred WinkelhockWIN,ATS BMW,1,1:23.427
25,2,Jacques LaffiteLAF,Williams Honda,1,1:24.689
26,32,Piercarlo GhinzaniGHI,Osella Ford,1,1:29.776
