Pos,No,Driver,Car,Lap,Time
1,15,Alain ProstPRO,Renault,34,1:42.695
2,5,Nelson PiquetPIQ,Brabham BMW,6,1:43.552
3,16,Eddie  CheeverCHE,Renault,6,1:43.590
4,6,Riccardo PatresePAT,Brabham BMW,14,1:43.803
5,22,Andrea de CesarisDEC,Alfa Romeo,22,1:44.106
6,27,Patrick TambayTAM,Ferrari,36,1:44.185
7,28,Rene ArnouxARN,Ferrari,26,1:45.005
8,1,Keke RosbergROS,Williams Honda,37,1:45.022
9,2,Jacques LaffiteLAF,Williams Honda,30,1:45.223
10,29,Marc SurerSUR,Arrows Ford,51,1:45.748
11,8,Niki LaudaLAU,McLaren TAG,21,1:45.974
12,23,Mauro BaldiBAL,Alfa Romeo,28,1:46.253
13,3,Michele AlboretoALB,Tyrrell Ford,45,1:46.291
14,34,Johnny CecottoCEC,Theodore Ford,46,1:46.526
15,9,Manfred WinkelhockWIN,ATS BMW,9,1:46.546
16,7,John WatsonWAT,McLaren TAG,3,1:46.818
17,25,Jean-Pierre JarierJAR,Ligier Ford,6,1:46.841
18,11,Elio de AngelisDEA,Lotus Ford,4,1:46.995
19,35,Derek WarwickWAR,Toleman Hart,12,1:47.344
20,36,Bruno GiacomelliGIA,Toleman Hart,14,1:47.367
21,33,Roberto GuerreroGUE,Theodore Ford,19,1:47.442
22,4,Danny SullivanSUL,Tyrrell Ford,14,1:47.759
23,30,Chico SerraSER,Arrows Ford,15,1:48.101
24,31,Corrado FabiFAB,Osella Ford,11,1:48.666
25,12,Nigel MansellMAN,Lotus Ford,3,1:48.723
26,26,Raul BoeselBOE,Ligier Ford,34,1:49.893
