Pos,No,Driver,Car,Lap,Time
1,27,Patrick TambayTAM,Ferrari,42,1:30.851
2,28,Rene ArnouxARN,Ferrari,54,1:31.041
3,6,Riccardo PatresePAT,Brabham BMW,36,1:31.400
4,15,Alain ProstPRO,Renault,59,1:31.497
5,16,Eddie  CheeverCHE,Renault,46,1:31.504
6,5,Nelson PiquetPIQ,Brabham BMW,6,1:31.733
7,1,Keke RosbergROS,Williams Honda,52,1:31.785
8,4,Danny SullivanSUL,,53,1:32.589
9,2,Jacques LaffiteLAF,Williams Honda,29,1:32.607
10,30,Thierry BoutsenBOU,Arrows Ford,59,1:32.898
11,7,John WatsonWAT,McLaren TAG,47,1:33.229
12,9,Manfred WinkelhockWIN,ATS BMW,46,1:33.834
13,36,Bruno GiacomelliGIA,Toleman Hart,32,1:33.962
14,22,Andrea de CesarisDEC,Alfa Romeo,11,1:34.350
15,3,Michele AlboretoALB,Tyrrell Ford,61,1:34.364
16,35,Derek WarwickWAR,Toleman Hart,26,1:34.432
17,23,Mauro BaldiBAL,Alfa Romeo,43,1:34.785
18,33,Roberto GuerreroGUE,Theodore Ford,27,1:34.996
19,34,Johnny CecottoCEC,Theodore Ford,7,1:35.343
20,26,Raul BoeselBOE,Ligier Ford,31,1:35.909
21,12,Nigel MansellMAN,Lotus Ford,5,1:36.026
22,8,Niki LaudaLAU,McLaren TAG,5,1:36.071
23,31,Corrado FabiFAB,Osella Ford,11,1:36.650
24,11,Elio de AngelisDEA,Lotus Ford,1,1:46.434
