Pos,No,Driver,Car,Lap,Time
1,5,Nelson PiquetPIQ,Brabham BMW,20,1:34.431
2,28,Rene ArnouxARN,Ferrari,15,1:34.592
3,16,Eddie  CheeverCHE,Renault,9,1:34.644
4,11,Elio de AngelisDEA,Lotus Ford,11,1:34.735
5,15,Alain ProstPRO,Renault,24,1:34.871
6,27,Patrick TambayTAM,Ferrari,25,1:34.886
7,7,John WatsonWAT,McLaren TAG,13,1:35.022
8,12,Nigel MansellMAN,Lotus Ford,43,1:35.035
9,36,Bruno GiacomelliGIA,Toleman Hart,51,1:35.130
10,35,Derek WarwickWAR,Toleman Hart,17,1:35.588
11,9,Manfred WinkelhockWIN,ATS BMW,18,1:35.853
12,23,Mauro BaldiBAL,Alfa Romeo,4,1:36.398
13,25,Jean-Pierre JarierJAR,Ligier Ford,41,1:36.567
14,1,Keke RosbergROS,Williams Honda,43,1:36.987
15,8,Niki LaudaLAU,McLaren TAG,8,1:37.132
16,29,Marc SurerSUR,Arrows Ford,41,1:37.585
17,3,Michele AlboretoALB,Tyrrell Ford,16,1:37.828
18,40,Stefan JohanssonJOH,Spirit Honda,3,1:37.965
19,34,Johnny CecottoCEC,Theodore Ford,40,1:38.412
20,33,Roberto GuerreroGUE,Theodore Ford,42,1:38.444
21,30,Thierry BoutsenBOU,Arrows Ford,26,1:38.476
22,31,Corrado FabiFAB,Osella Ford,35,1:39.334
23,4,Danny SullivanSUL,Tyrrell Ford,34,1:39.516
24,32,Piercarlo GhinzaniGHI,Osella Ford,4,1:40.271
25,6,Riccardo PatresePAT,Brabham BMW,2,3:16.194
26,22,Andrea de CesarisDEC,Alfa Romeo,2,3:21.578
