Pos,No,Driver,Car,Time,Gap,Laps
1,63,George RussellRUS,Mercedes,1:30.125,,18
2,44,Lewis HamiltonHAM,Mercedes,1:30.337,+0.212s,24
3,16,Charles LeclercLEC,Ferrari,1:30.449,+0.324s,23
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:30.549,+0.424s,22
5,55,Carlos SainzSAI,Ferrari,1:30.724,+0.599s,23
6,10,Pierre GaslyGAS,Alpine Renault,1:31.104,+0.979s,20
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:31.231,+1.106s,24
8,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:31.337,+1.212s,24
9,27,Nico HulkenbergHUL,Haas Ferrari,1:31.392,+1.267s,14
10,31,Esteban OconOCO,Alpine Renault,1:31.542,+1.417s,27
11,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:31.566,+1.441s,22
12,81,Oscar PiastriPIA,McLaren Mercedes,1:31.810,+1.685s,24
13,20,Kevin MagnussenMAG,Haas Ferrari,1:31.853,+1.728s,25
14,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:31.902,+1.777s,24
15,23,Alexander AlbonALB,Williams Mercedes,1:31.903,+1.778s,25
16,4,Lando NorrisNOR,McLaren Mercedes,1:31.997,+1.872s,23
17,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:32.134,+2.009s,22
18,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:32.169,+2.044s,28
19,2,Logan SargeantSAR,Williams Mercedes,1:32.619,+2.494s,27
20,21,Nyck De VriesDEV,AlphaTauri Honda RBPT,1:34.637,+4.512s,10
