Pos,No,Driver,Car,Time,Gap,Laps
1,55,Carlos SainzSAI,Ferrari,1:11.732,,30
2,16,Charles LeclercLEC,Ferrari,1:11.840,+0.108s,32
3,63,George RussellRUS,Mercedes,1:11.865,+0.133s,31
4,27,Nico HulkenbergHUL,Haas Ferrari,1:11.928,+0.196s,19
5,23,Alexander AlbonALB,Williams Mercedes,1:12.044,+0.312s,28
6,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:12.136,+0.404s,26
7,10,Pierre GaslyGAS,Alpine Renault,1:12.184,+0.452s,31
8,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:12.481,+0.749s,27
9,2,Logan SargeantSAR,Williams Mercedes,1:12.579,+0.847s,30
10,20,Kevin MagnussenMAG,Haas Ferrari,1:12.592,+0.860s,24
11,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:12.615,+0.883s,28
12,44,Lewis HamiltonHAM,Mercedes,1:12.638,+0.906s,30
13,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:12.714,+0.982s,29
14,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:12.778,+1.046s,27
15,31,Esteban OconOCO,Alpine Renault,1:12.779,+1.047s,30
16,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:12.793,+1.061s,30
17,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:13.012,+1.280s,31
18,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:13.056,+1.324s,31
19,4,Lando NorrisNOR,McLaren Mercedes,1:13.629,+1.897s,25
20,81,Oscar PiastriPIA,McLaren Mercedes,1:13.838,+2.106s,28
