Pos,No,Driver,Car,Time,Gap,Laps
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:27.428,,26
2,55,Carlos SainzSAI,Ferrari,1:27.762,+0.334s,27
3,16,Charles LeclercLEC,Ferrari,1:27.909,+0.481s,27
4,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,1:27.919,+0.491s,28
5,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:28.016,+0.588s,24
6,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:28.027,+0.599s,28
7,27,Nico HulkenbergHUL,Haas Ferrari,1:28.171,+0.743s,22
8,63,George RussellRUS,Mercedes,1:28.336,+0.908s,28
9,81,Oscar PiastriPIA,McLaren Mercedes,1:28.380,+0.952s,20
10,4,Lando NorrisNOR,McLaren Mercedes,1:28.441,+1.013s,24
11,2,Logan SargeantSAR,Williams Mercedes,1:28.550,+1.122s,25
12,23,Alexander AlbonALB,Williams Mercedes,1:28.590,+1.162s,26
13,44,Lewis HamiltonHAM,Mercedes,1:28.679,+1.251s,26
14,18,Lance StrollSTR,Aston Martin Aramco Mercedes,1:28.690,+1.262s,28
15,31,Esteban OconOCO,Alpine Renault,1:28.732,+1.304s,25
16,10,Pierre GaslyGAS,Alpine Renault,1:28.821,+1.393s,23
17,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:29.041,+1.613s,27
18,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:29.106,+1.678s,29
19,40,Liam LawsonLAW,AlphaTauri Honda RBPT,1:29.238,+1.810s,29
20,20,Kevin MagnussenMAG,Haas Ferrari,1:29.502,+2.074s,26
