Pos,No,Driver,Car,Time,Gap,Laps
1,16,Charles LeclercLEC,Ferrari,1:40.909,,4
2,27,Nico HulkenbergHUL,Haas Ferrari,1:43.446,+2.537s,4
3,20,Kevin MagnussenMAG,Haas Ferrari,1:44.261,+3.352s,4
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,1:44.397,+3.488s,4
5,31,Esteban OconOCO,Alpine Renault,1:45.365,+4.456s,5
6,63,George RussellRUS,Mercedes,1:45.497,+4.588s,4
7,55,Carlos SainzSAI,Ferrari,1:45.824,+4.915s,4
8,22,Yuki TsunodaTSU,AlphaTauri Honda RBPT,1:45.908,+4.999s,5
9,11,Sergio PerezPER,Red Bull Racing Honda RBPT,1:46.793,+5.884s,4
10,77,Valtteri BottasBOT,Alfa Romeo Ferrari,1:47.147,+6.238s,5
11,10,Pierre GaslyGAS,Alpine Renault,1:48.253,+7.344s,5
12,44,Lewis HamiltonHAM,Mercedes,1:48.513,+7.604s,4
13,3,Daniel RicciardoRIC,AlphaTauri Honda RBPT,1:48.650,+7.741s,4
14,24,Zhou GuanyuZHO,Alfa Romeo Ferrari,1:48.822,+7.913s,5
15,4,Lando NorrisNOR,McLaren Mercedes,1:48.947,+8.038s,3
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,,,2
17,81,Oscar PiastriPIA,McLaren Mercedes,,,2
18,23,Alexander AlbonALB,Williams Mercedes,,,2
19,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,,,2
