Pos,No,Driver,Car,Laps,Time/retired,Pts
1,8,Fernando AlonsoALO,Ferrari,53,1:16:24.572,25
2,1,Jenson ButtonBUT,McLaren Mercedes,53,+2.938s,18
3,7,Felipe MassaMAS,Ferrari,53,+4.223s,15
4,5,Sebastian VettelVET,RBR Renault,53,+28.196s,12
5,4,Nico RosbergROS,Mercedes,53,+29.942s,10
6,6,Mark WebberWEB,RBR Renault,53,+31.276s,8
7,10,Nico HulkenbergHUL,Williams Cosworth,53,+32.812s,6
8,11,Robert KubicaKUB,Renault,53,+34.028s,4
9,3,Michael SchumacherMSC,Mercedes,53,+44.948s,2
10,9,Rubens BarrichelloBAR,Williams Cosworth,53,+64.213s,1
11,16,Sebastien BuemiBUE,STR Ferrari,53,+65.056s,0
12,15,Vitantonio LiuzziLIU,Force India Mercedes,53,+66.106s,0
13,12,Vitaly PetrovPET,Renault,53,+78.919s,0
14,22,Pedro de la RosaDLR,Sauber Ferrari,52,+1 lap,0
15,17,Jaime AlguersuariALG,STR Ferrari,52,+1 lap,0
16,14,Adrian SutilSUT,Force India Mercedes,52,+1 lap,0
17,24,Timo GlockGLO,Virgin Cosworth,51,+2 laps,0
18,19,Heikki KovalainenKOV,Lotus Cosworth,51,+2 laps,0
19,20,Sakon YamamotoYAM,HRT Cosworth,51,+2 laps,0
20,25,Lucas di GrassiDIG,Virgin Cosworth,50,+3 laps,0
NC,18,Jarno TrulliTRU,Lotus Cosworth,46,DNF,0
NC,21,Bruno SennaSEN,HRT Cosworth,11,DNF,0
NC,2,Lewis HamiltonHAM,McLaren Mercedes,0,DNF,0
NC,23,Kamui KobayashiKOB,Sauber Ferrari,0,DNF,0
