Pos,No,Driver,Car,Laps,Time/retired,Pts
1,5,Sebastian VettelVET,RBR Renault,53,1:30:27.323,25
2,6,Mark WebberWEB,RBR Renault,53,+0.905s,18
3,8,Fernando AlonsoALO,Ferrari,53,+2.721s,15
4,1,Jenson ButtonBUT,McLaren Mercedes,53,+13.522s,12
5,2,Lewis HamiltonHAM,McLaren Mercedes,53,+39.595s,10
6,3,Michael SchumacherMSC,Mercedes,53,+59.933s,8
7,23,Kamui KobayashiKOB,Sauber Ferrari,53,+64.038s,6
8,22,Nick HeidfeldHEI,Sauber Ferrari,53,+69.648s,4
9,9,Rubens BarrichelloBAR,Williams Cosworth,53,+70.846s,2
10,16,Sebastien BuemiBUE,STR Ferrari,53,+72.806s,1
11,17,Jaime AlguersuariALG,STR Ferrari,52,+1 lap,0
12,19,Heikki KovalainenKOV,Lotus Cosworth,52,+1 lap,0
13,18,Jarno TrulliTRU,Lotus Cosworth,51,+2 laps,0
14,24,Timo GlockGLO,Virgin Cosworth,51,+2 laps,0
15,21,Bruno SennaSEN,HRT Cosworth,51,+2 laps,0
16,20,Sakon YamamotoYAM,HRT Cosworth,50,+3 laps,0
17,4,Nico RosbergROS,Mercedes,47,DNF,0
NC,14,Adrian SutilSUT,Force India Mercedes,44,DNF,0
NC,11,Robert KubicaKUB,Renault,2,DNF,0
NC,10,Nico HulkenbergHUL,Williams Cosworth,0,DNF,0
NC,7,Felipe MassaMAS,Ferrari,0,DNF,0
NC,12,Vitaly PetrovPET,Renault,0,DNF,0
NC,15,Vitantonio LiuzziLIU,Force India Mercedes,0,DNF,0
NC,25,Lucas di GrassiDIG,Virgin Cosworth,,DNS,0
