Pos,No,Driver,Car,Laps,Time/retired,Pts
1,8,Fernando AlonsoALO,Ferrari,61,1:57:53.579,25
2,5,Sebastian VettelVET,RBR Renault,61,+0.293s,18
3,6,Mark WebberWEB,RBR Renault,61,+29.141s,15
4,1,Jenson ButtonBUT,McLaren Mercedes,61,+30.384s,12
5,4,Nico RosbergROS,Mercedes,61,+49.394s,10
6,9,Rubens BarrichelloBAR,Williams Cosworth,61,+56.101s,8
7,11,Robert KubicaKUB,Renault,61,+86.559s,6
8,7,Felipe MassaMAS,Ferrari,61,+113.297s,4
9,14,Adrian SutilSUT,Force India Mercedes,61,+132.416s,2
10,10,Nico HulkenbergHUL,Williams Cosworth,61,+132.791s,1
11,12,Vitaly PetrovPET,Renault,60,+1 lap,0
12,17,Jaime AlguersuariALG,STR Ferrari,60,+1 lap,0
13,3,Michael SchumacherMSC,Mercedes,60,+1 lap,0
14,16,Sebastien BuemiBUE,STR Ferrari,60,+1 lap,0
15,25,Lucas di GrassiDIG,Virgin Cosworth,59,+2 laps,0
16,19,Heikki KovalainenKOV,Lotus Cosworth,58,DNF,0
NC,24,Timo GlockGLO,Virgin Cosworth,49,DNF,0
NC,22,Nick HeidfeldHEI,Sauber Ferrari,36,DNF,0
NC,2,Lewis HamiltonHAM,McLaren Mercedes,35,DNF,0
NC,20,Christian KlienKLI,HRT Cosworth,31,DNF,0
NC,23,Kamui KobayashiKOB,Sauber Ferrari,30,DNF,0
NC,21,Bruno SennaSEN,HRT Cosworth,29,DNF,0
NC,18,Jarno TrulliTRU,Lotus Cosworth,27,DNF,0
NC,15,Vitantonio LiuzziLIU,Force India Mercedes,1,DNF,0
