Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Lewis HamiltonHAM,McLaren Mercedes,44,1:29:04.268,25
2,6,Mark WebberWEB,RBR Renault,44,+1.571s,18
3,11,Robert KubicaKUB,Renault,44,+3.493s,15
4,7,Felipe MassaMAS,Ferrari,44,+8.264s,12
5,14,Adrian SutilSUT,Force India Mercedes,44,+9.094s,10
6,4,Nico RosbergROS,Mercedes,44,+12.359s,8
7,3,Michael SchumacherMSC,Mercedes,44,+15.548s,6
8,23,Kamui KobayashiKOB,Sauber Ferrari,44,+16.678s,4
9,12,Vitaly PetrovPET,Renault,44,+23.851s,2
10,15,Vitantonio LiuzziLIU,Force India Mercedes,44,+34.831s,1
11,22,Pedro de la RosaDLR,Sauber Ferrari,44,+36.019s,0
12,16,Sebastien BuemiBUE,STR Ferrari,44,+39.895s,0
13,17,Jaime AlguersuariALG,STR Ferrari,44,+49.457s,0
14,10,Nico HulkenbergHUL,Williams Cosworth,43,+1 lap,0
15,5,Sebastian VettelVET,RBR Renault,43,+1 lap,0
16,19,Heikki KovalainenKOV,Lotus Cosworth,43,+1 lap,0
17,25,Lucas di GrassiDIG,Virgin Cosworth,43,+1 lap,0
18,24,Timo GlockGLO,Virgin Cosworth,43,+1 lap,0
19,18,Jarno TrulliTRU,Lotus Cosworth,43,+1 lap,0
20,20,Sakon YamamotoYAM,HRT Cosworth,42,+2 laps,0
NC,8,Fernando AlonsoALO,Ferrari,37,DNF,0
NC,1,Jenson ButtonBUT,McLaren Mercedes,15,DNF,0
NC,21,Bruno SennaSEN,HRT Cosworth,5,DNF,0
NC,9,Rubens BarrichelloBAR,Williams Cosworth,0,DNF,0
