Pos,No,Driver,Car,Laps,Time/retired,Pts
1,2,Lewis HamiltonHAM,McLaren Mercedes,58,1:28:47.620,25
2,1,Jenson ButtonBUT,McLaren Mercedes,58,+2.645s,18
3,6,Mark WebberWEB,RBR Renault,58,+24.285s,15
4,3,Michael SchumacherMSC,Mercedes,58,+31.110s,12
5,4,Nico RosbergROS,Mercedes,58,+32.266s,10
6,11,Robert KubicaKUB,Renault,58,+32.824s,8
7,7,Felipe MassaMAS,Ferrari,58,+36.635s,6
8,8,Fernando AlonsoALO,Ferrari,58,+46.544s,4
9,14,Adrian SutilSUT,Force India Mercedes,58,+49.029s,2
10,23,Kamui KobayashiKOB,Sauber Ferrari,58,+65.650s,1
11,22,Pedro de la RosaDLR,Sauber Ferrari,58,+65.944s,0
12,17,Jaime AlguersuariALG,STR Ferrari,58,+67.800s,0
13,15,Vitantonio LiuzziLIU,Force India Mercedes,57,+1 lap,0
14,9,Rubens BarrichelloBAR,Williams Cosworth,57,+1 lap,0
15,12,Vitaly PetrovPET,Renault,57,+1 lap,0
16,16,Sebastien BuemiBUE,STR Ferrari,57,+1 lap,0
17,10,Nico HulkenbergHUL,Williams Cosworth,57,+1 lap,0
18,24,Timo GlockGLO,Virgin Cosworth,55,+3 laps,0
19,25,Lucas di GrassiDIG,Virgin Cosworth,55,+3 laps,0
20,20,Karun ChandhokCHD,HRT Cosworth,52,DNF,0
NC,21,Bruno SennaSEN,HRT Cosworth,46,DNF,0
NC,5,Sebastian VettelVET,RBR Renault,39,DNF,0
NC,19,Heikki KovalainenKOV,Lotus Cosworth,33,DNF,0
NC,18,Jarno TrulliTRU,Lotus Cosworth,32,DNF,0
