Pos,No,Driver,Car,Laps,Time/retired,Pts
1,8,Fernando AlonsoALO,Ferrari,55,2:48:20.810,25
2,2,Lewis HamiltonHAM,McLaren Mercedes,55,+14.999s,18
3,7,Felipe MassaMAS,Ferrari,55,+30.868s,15
4,3,Michael SchumacherMSC,Mercedes,55,+39.688s,12
5,11,Robert KubicaKUB,Renault,55,+47.734s,10
6,15,Vitantonio LiuzziLIU,Force India Mercedes,55,+53.571s,8
7,9,Rubens BarrichelloBAR,Williams Cosworth,55,+69.257s,6
8,23,Kamui KobayashiKOB,Sauber Ferrari,55,+77.889s,4
9,22,Nick HeidfeldHEI,Sauber Ferrari,55,+80.107s,2
10,10,Nico HulkenbergHUL,Williams Cosworth,55,+80.851s,1
11,17,Jaime AlguersuariALG,STR Ferrari,55,+84.146s,0
12,1,Jenson ButtonBUT,McLaren Mercedes,55,+89.939s,0
13,19,Heikki KovalainenKOV,Lotus Cosworth,54,+1 lap,0
14,21,Bruno SennaSEN,HRT Cosworth,53,+2 laps,0
15,20,Sakon YamamotoYAM,HRT Cosworth,53,+2 laps,0
NC,14,Adrian SutilSUT,Force India Mercedes,46,DNF,0
NC,5,Sebastian VettelVET,RBR Renault,45,DNF,0
NC,12,Vitaly PetrovPET,Renault,39,DNF,0
NC,24,Timo GlockGLO,Virgin Cosworth,31,DNF,0
NC,16,Sebastien BuemiBUE,STR Ferrari,30,DNF,0
NC,25,Lucas di GrassiDIG,Virgin Cosworth,25,DNF,0
NC,18,Jarno TrulliTRU,Lotus Cosworth,25,DNF,0
NC,6,Mark WebberWEB,RBR Renault,18,DNF,0
NC,4,Nico RosbergROS,Mercedes,18,DNF,0
