Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,63,George RussellRUS,Mercedes,55,16:21:05,1:20.305,196.396
2,2,Logan SargeantSAR,Williams Mercedes,65,16:36:24,1:20.561,195.772
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,51,16:15:04,1:20.908,194.932
4,11,Sergio PerezPER,Red Bull Racing Honda RBPT,49,16:12:48,1:21.096,194.480
5,55,Carlos SainzSAI,Ferrari,53,16:17:55,1:21.441,193.656
6,31,Esteban OconOCO,Alpine Renault,66,16:37:51,1:21.610,193.255
7,4,Lando NorrisNOR,McLaren Mercedes,50,16:13:28,1:21.712,193.014
8,81,Oscar PiastriPIA,McLaren Mercedes,51,16:14:54,1:21.716,193.005
9,44,Lewis HamiltonHAM,Mercedes,54,16:19:08,1:22.153,191.978
10,16,Charles LeclercLEC,Ferrari,29,15:44:08,1:22.182,191.910
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,48,16:11:46,1:22.338,191.547
12,3,Daniel RicciardoRIC,RB Honda RBPT,30,15:46:27,1:22.640,190.847
13,77,Valtteri BottasBOT,Kick Sauber Ferrari,52,16:17:42,1:22.792,190.496
14,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,52,16:17:11,1:23.063,189.875
15,10,Pierre GaslyGAS,Alpine Renault,31,15:47:47,1:23.340,189.244
16,27,Nico HulkenbergHUL,Haas Ferrari,54,16:20:11,1:23.461,188.969
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,38,15:58:12,1:23.487,188.910
18,22,Yuki TsunodaTSU,RB Honda RBPT,57,16:24:04,1:23.533,188.806
19,20,Kevin MagnussenMAG,Haas Ferrari,50,16:14:43,1:23.553,188.761
20,23,Alexander AlbonALB,Williams Mercedes,31,15:47:56,1:23.930,187.913
