Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,55,Carlos SainzSAI,Ferrari,52,16:26:26,1:28.293,240.195
2,81,Oscar PiastriPIA,McLaren Mercedes,51,16:24:22,1:28.748,238.964
3,1,Max VerstappenVER,Red Bull Racing Honda RBPT,48,16:19:43,1:28.952,238.416
4,4,Lando NorrisNOR,McLaren Mercedes,43,16:12:14,1:29.262,237.588
5,44,Lewis HamiltonHAM,Mercedes,45,16:15:11,1:29.438,237.120
6,11,Sergio PerezPER,Red Bull Racing Honda RBPT,50,16:25:57,1:29.707,236.409
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,47,16:19:09,1:29.710,236.401
8,23,Alexander AlbonALB,Williams Mercedes,52,16:26:47,1:29.718,236.380
9,16,Charles LeclercLEC,Ferrari,43,16:14:16,1:29.748,236.301
10,27,Nico HulkenbergHUL,Haas Ferrari,43,16:13:02,1:29.836,236.070
11,18,Lance StrollSTR,Aston Martin Aramco Mercedes,46,16:17:35,1:29.897,235.909
12,2,Logan SargeantSAR,Williams Mercedes,42,16:11:58,1:29.972,235.713
13,20,Kevin MagnussenMAG,Haas Ferrari,42,16:11:57,1:30.093,235.396
14,22,Yuki TsunodaTSU,RB Honda RBPT,43,16:13:16,1:30.229,235.041
15,3,Daniel RicciardoRIC,RB Honda RBPT,47,16:19:36,1:30.735,233.731
16,31,Esteban OconOCO,Alpine Renault,46,16:19:38,1:30.875,233.371
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,43,16:15:52,1:31.014,233.014
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,44,16:15:37,1:31.277,232.343
19,63,George RussellRUS,Mercedes,3,15:07:50,1:31.298,232.289
