Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,4,Lando NorrisNOR,McLaren Mercedes,51,16:12:04,1:17.115,217.405
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,54,16:15:52,1:17.776,215.557
3,11,Sergio PerezPER,Red Bull Racing Honda RBPT,51,16:12:50,1:17.785,215.532
4,44,Lewis HamiltonHAM,Mercedes,46,16:05:37,1:17.809,215.466
5,81,Oscar PiastriPIA,McLaren Mercedes,56,16:19:02,1:17.874,215.286
6,16,Charles LeclercLEC,Ferrari,52,16:13:37,1:17.897,215.222
7,63,George RussellRUS,Mercedes,50,16:10:50,1:18.290,214.142
8,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,50,16:11:50,1:18.334,214.022
9,55,Carlos SainzSAI,Ferrari,39,15:56:24,1:18.539,213.463
10,27,Nico HulkenbergHUL,Haas Ferrari,49,16:10:15,1:18.609,213.273
11,24,Zhou GuanyuZHO,Kick Sauber Ferrari,50,16:11:49,1:18.771,212.834
12,31,Esteban OconOCO,Alpine Renault,54,16:16:49,1:18.982,212.266
13,10,Pierre GaslyGAS,Alpine Renault,51,16:12:41,1:19.045,212.096
14,23,Alexander AlbonALB,Williams Mercedes,45,16:05:33,1:19.132,211.863
15,18,Lance StrollSTR,Aston Martin Aramco Mercedes,50,16:11:54,1:19.318,211.366
16,22,Yuki TsunodaTSU,RB Honda RBPT,56,16:20:34,1:19.447,211.023
17,3,Daniel RicciardoRIC,RB Honda RBPT,61,16:26:59,1:19.450,211.015
18,77,Valtteri BottasBOT,Kick Sauber Ferrari,13,15:21:30,1:19.608,210.596
19,20,Kevin MagnussenMAG,Haas Ferrari,33,15:49:12,1:19.805,210.077
20,2,Logan SargeantSAR,Williams Mercedes,38,15:56:13,1:20.172,209.115
