Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,4,Lando NorrisNOR,McLaren Mercedes,56,20:33:50,1:22.384,236.798
2,1,Max VerstappenVER,Red Bull Racing Honda RBPT,55,20:31:51,1:22.905,235.310
3,81,Oscar PiastriPIA,McLaren Mercedes,51,20:26:24,1:23.218,234.425
4,16,Charles LeclercLEC,Ferrari,53,20:29:10,1:23.242,234.357
5,63,George RussellRUS,Mercedes,50,20:25:02,1:23.355,234.039
6,55,Carlos SainzSAI,Ferrari,52,20:27:56,1:23.465,233.731
7,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,57,20:34:58,1:23.667,233.167
8,10,Pierre GaslyGAS,Alpine Renault,56,20:33:31,1:23.705,233.061
9,44,Lewis HamiltonHAM,Mercedes,52,20:28:29,1:23.865,232.616
10,24,Zhou GuanyuZHO,Kick Sauber Ferrari,57,20:35:03,1:23.889,232.550
11,20,Kevin MagnussenMAG,Haas Ferrari,55,20:32:20,1:24.259,231.528
12,11,Sergio PerezPER,Red Bull Racing Honda RBPT,31,19:51:30,1:25.288,228.735
13,77,Valtteri BottasBOT,Kick Sauber Ferrari,53,20:29:42,1:25.533,228.080
14,23,Alexander AlbonALB,Williams Mercedes,47,20:21:03,1:25.559,228.011
15,27,Nico HulkenbergHUL,Haas Ferrari,33,19:55:25,1:25.767,227.458
16,30,Liam LawsonLAW,RB Honda RBPT,46,20:19:42,1:26.076,226.641
17,22,Yuki TsunodaTSU,RB Honda RBPT,47,20:21:07,1:26.144,226.462
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,6,19:15:47,1:30.935,214.531
