Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,11,Sergio PerezPER,Red Bull Racing Honda RBPT,44,16:24:32,1:44.701,240.822
2,4,Lando NorrisNOR,McLaren Mercedes,31,16:00:48,1:45.563,238.856
3,81,Oscar PiastriPIA,McLaren Mercedes,32,16:02:30,1:45.840,238.231
4,1,Max VerstappenVER,Red Bull Racing Honda RBPT,32,16:02:34,1:46.128,237.584
5,55,Carlos SainzSAI,Ferrari,44,16:24:09,1:46.364,237.057
6,44,Lewis HamiltonHAM,Mercedes,33,16:04:12,1:46.653,236.415
7,31,Esteban OconOCO,Alpine Renault,43,16:22:54,1:46.957,235.743
8,16,Charles LeclercLEC,Ferrari,33,16:04:15,1:47.013,235.619
9,77,Valtteri BottasBOT,Kick Sauber Ferrari,37,16:12:24,1:47.019,235.606
10,63,George RussellRUS,Mercedes,44,16:23:49,1:47.113,235.399
11,10,Pierre GaslyGAS,Alpine Renault,30,15:59:39,1:47.418,234.731
12,3,Daniel RicciardoRIC,RB Honda RBPT,37,16:12:09,1:47.435,234.694
13,2,Logan SargeantSAR,Williams Mercedes,43,16:23:27,1:47.490,234.574
14,20,Kevin MagnussenMAG,Haas Ferrari,44,16:24:56,1:47.848,233.795
15,22,Yuki TsunodaTSU,RB Honda RBPT,44,16:25:06,1:47.969,233.533
16,23,Alexander AlbonALB,Williams Mercedes,44,16:24:53,1:47.996,233.475
17,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,42,16:21:03,1:48.051,233.356
18,18,Lance StrollSTR,Aston Martin Aramco Mercedes,44,16:24:52,1:48.105,233.239
19,27,Nico HulkenbergHUL,Haas Ferrari,44,16:25:18,1:48.954,231.422
20,24,Zhou GuanyuZHO,Kick Sauber Ferrari,2,15:07:45,1:52.099,224.929
