Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,1,Max VerstappenVER,Red Bull Racing Honda RBPT,39,19:07:00,1:32.608,210.383
2,16,Charles LeclercLEC,Ferrari,36,19:02:45,1:34.090,207.069
3,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,48,19:22:26,1:34.199,206.830
4,11,Sergio PerezPER,Red Bull Racing Honda RBPT,40,19:08:53,1:34.364,206.468
5,4,Lando NorrisNOR,McLaren Mercedes,35,19:01:12,1:34.476,206.223
6,55,Carlos SainzSAI,Ferrari,44,19:15:15,1:34.507,206.156
7,44,Lewis HamiltonHAM,Mercedes,39,19:07:38,1:34.722,205.688
8,2,Logan SargeantSAR,Williams Mercedes,42,19:14:58,1:34.735,205.659
9,10,Pierre GaslyGAS,Alpine Renault,45,19:18:28,1:34.805,205.508
10,27,Nico HulkenbergHUL,Haas Ferrari,46,19:19:49,1:34.834,205.445
11,81,Oscar PiastriPIA,McLaren Mercedes,39,19:07:42,1:34.983,205.123
12,63,George RussellRUS,Mercedes,40,19:09:04,1:35.065,204.946
13,3,Daniel RicciardoRIC,RB Honda RBPT,37,19:05:08,1:35.163,204.735
14,24,Zhou GuanyuZHO,Kick Sauber Ferrari,30,18:53:34,1:35.458,204.102
15,20,Kevin MagnussenMAG,Haas Ferrari,34,19:00:11,1:35.570,203.863
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,30,18:53:35,1:35.632,203.730
17,23,Alexander AlbonALB,Williams Mercedes,40,19:09:57,1:35.723,203.537
18,22,Yuki TsunodaTSU,RB Honda RBPT,37,19:04:59,1:35.833,203.303
19,77,Valtteri BottasBOT,Kick Sauber Ferrari,33,18:59:37,1:36.202,202.523
20,31,Esteban OconOCO,Alpine Renault,34,19:00:21,1:36.226,202.473
