Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,16,Charles LeclercLEC,Ferrari,71,15:45:04,1:18.336,197.794
2,11,Sergio PerezPER,Red Bull Racing Honda RBPT,70,15:45:43,1:19.209,195.614
3,30,Liam LawsonLAW,RB Honda RBPT,67,15:41:26,1:19.502,194.893
4,4,Lando NorrisNOR,McLaren Mercedes,68,15:40:35,1:19.691,194.430
5,81,Oscar PiastriPIA,McLaren Mercedes,65,15:37:31,1:20.064,193.525
6,43,Franco ColapintoCOL,Williams Mercedes,50,15:17:48,1:20.090,193.462
7,55,Carlos SainzSAI,Ferrari,62,15:32:26,1:20.137,193.348
8,44,Lewis HamiltonHAM,Mercedes,31,14:51:09,1:20.371,192.785
9,20,Kevin MagnussenMAG,Haas Ferrari,61,15:32:03,1:20.637,192.150
10,31,Esteban OconOCO,Alpine Renault,70,15:45:10,1:20.659,192.097
11,63,George RussellRUS,Mercedes,63,15:34:26,1:20.731,191.926
12,27,Nico HulkenbergHUL,Haas Ferrari,69,15:43:07,1:20.748,191.885
13,1,Max VerstappenVER,Red Bull Racing Honda RBPT,53,15:21:08,1:20.872,191.591
14,77,Valtteri BottasBOT,Kick Sauber Ferrari,57,15:27:30,1:21.085,191.088
15,10,Pierre GaslyGAS,Alpine Renault,67,15:40:43,1:21.274,190.643
16,18,Lance StrollSTR,Aston Martin Aramco Mercedes,55,15:24:28,1:21.311,190.557
17,24,Zhou GuanyuZHO,Kick Sauber Ferrari,56,15:26:18,1:21.553,189.991
18,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,7,14:17:46,1:22.722,187.306
