Pos,No,Driver,Car,Lap,Time of day,Time,Avg speed
1,3,Daniel RicciardoRIC,RB Honda RBPT,60,21:44:39,1:34.486,188.218
2,4,Lando NorrisNOR,McLaren Mercedes,48,21:22:12,1:34.925,187.347
3,16,Charles LeclercLEC,Ferrari,46,21:20:00,1:35.371,186.471
4,81,Oscar PiastriPIA,McLaren Mercedes,48,21:22:55,1:35.745,185.743
5,1,Max VerstappenVER,Red Bull Racing Honda RBPT,59,21:40:21,1:35.967,185.313
6,22,Yuki TsunodaTSU,RB Honda RBPT,53,21:31:58,1:36.393,184.494
7,55,Carlos SainzSAI,Ferrari,15,20:29:18,1:36.561,184.173
8,23,Alexander AlbonALB,Williams Mercedes,13,20:26:05,1:36.888,183.552
9,10,Pierre GaslyGAS,Alpine Renault,46,21:21:13,1:36.927,183.478
10,63,George RussellRUS,Mercedes,30,20:53:41,1:37.047,183.251
11,43,Franco ColapintoCOL,Williams Mercedes,35,21:02:23,1:37.262,182.846
12,44,Lewis HamiltonHAM,Mercedes,43,21:15:00,1:37.393,182.600
13,20,Kevin MagnussenMAG,Haas Ferrari,52,21:32:27,1:37.425,182.540
14,24,Zhou GuanyuZHO,Kick Sauber Ferrari,47,21:22:47,1:37.461,182.472
15,27,Nico HulkenbergHUL,Haas Ferrari,35,21:02:20,1:37.470,182.456
16,11,Sergio PerezPER,Red Bull Racing Honda RBPT,33,20:59:05,1:37.477,182.443
17,77,Valtteri BottasBOT,Kick Sauber Ferrari,46,21:21:10,1:37.524,182.355
18,14,Fernando AlonsoALO,Aston Martin Aramco Mercedes,54,21:33:20,1:37.741,181.950
19,18,Lance StrollSTR,Aston Martin Aramco Mercedes,36,21:04:26,1:37.851,181.745
20,31,Esteban OconOCO,Alpine Renault,48,21:24:08,1:37.964,181.536
