POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,1,Max VerstappenVER,Red Bull Racing,1:13.193,28
2,23,Alexander AlbonALB,Williams,+0.039s,28
3,55,Carlos SainzSAI,Williams,+0.082s,31
4,63,George RussellRUS,Mercedes,+0.342s,29
5,44,Lewis HamiltonHAM,Ferrari,+0.427s,30
6,6,Isack HadjarHAD,Racing Bulls,+0.438s,31
7,4,Lando NorrisNOR,McLaren,+0.458s,30
8,30,Liam LawsonLAW,Racing Bulls,+0.544s,30
9,10,Pierre GaslyGAS,Alpine,+0.624s,29
10,16,Charles LeclercLEC,Ferrari,+0.692s,9
11,22,Yuki TsunodaTSU,Red Bull Racing,+0.734s,27
12,14,Fernando AlonsoALO,Aston Martin,+0.779s,25
13,12,Kimi AntonelliANT,Mercedes,+0.809s,30
14,81,Oscar PiastriPIA,McLaren,+1.005s,28
15,18,Lance StrollSTR,Aston Martin,+1.010s,25
16,5,Gabriel BortoletoBOR,Kick Sauber,+1.131s,30
17,87,Oliver BearmanBEA,Haas,+1.327s,30
18,31,Esteban OconOCO,Haas,+1.412s,23
19,43,Franco ColapintoCOL,Alpine,+1.452s,29
20,27,Nico HulkenbergHUL,Kick Sauber,+1.628s,28
