POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:31.504,23
2,16,Charles LeclercLEC,Ferrari,+0.454s,21
3,81,Oscar PiastriPIA,McLaren,+0.649s,24
4,44,Lewis HamiltonHAM,Ferrari,+0.691s,22
5,63,George RussellRUS,Mercedes,+0.873s,26
6,27,Nico HulkenbergHUL,Kick Sauber,+1.003s,21
7,23,Alexander AlbonALB,Williams,+1.183s,24
8,14,Fernando AlonsoALO,Aston Martin,+1.262s,23
9,12,Kimi AntonelliANT,Mercedes,+1.370s,27
10,22,Yuki TsunodaTSU,Racing Bulls,+1.430s,23
11,87,Oliver BearmanBEA,Haas,+1.463s,23
12,18,Lance StrollSTR,Aston Martin,+1.480s,19
13,31,Esteban OconOCO,Haas,+1.552s,23
14,10,Pierre GaslyGAS,Alpine,+1.619s,23
15,55,Carlos SainzSAI,Williams,+1.641s,26
16,1,Max VerstappenVER,Red Bull Racing,+1.780s,24
17,6,Isack HadjarHAD,Racing Bulls,+1.881s,23
18,30,Liam LawsonLAW,Red Bull Racing,+2.127s,23
19,5,Gabriel BortoletoBOR,Kick Sauber,+2.318s,24
20,7,Jack DoohanDOO,Alpine,+2.419s,17
