POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:27.128,22
2,16,Charles LeclercLEC,Ferrari,+0.356s,22
3,1,Max VerstappenVER,Red Bull Racing,+0.430s,20
4,55,Carlos SainzSAI,Williams,+0.550s,23
5,23,Alexander AlbonALB,Williams,+0.827s,25
6,6,Isack HadjarHAD,Racing Bulls,+0.840s,23
7,63,George RussellRUS,Mercedes,+0.930s,26
8,22,Yuki TsunodaTSU,Red Bull Racing,+1.027s,21
9,12,Kimi AntonelliANT,Mercedes,+1.099s,28
10,14,Fernando AlonsoALO,Aston Martin,+1.115s,24
11,30,Liam LawsonLAW,Racing Bulls,+1.246s,21
12,4,Lando NorrisNOR,McLaren,+1.263s,21
13,44,Lewis HamiltonHAM,Ferrari,+1.428s,20
14,27,Nico HulkenbergHUL,Kick Sauber,+1.445s,13
15,5,Gabriel BortoletoBOR,Kick Sauber,+1.643s,19
16,87,Oliver BearmanBEA,Haas,+1.868s,22
17,10,Pierre GaslyGAS,Alpine,+1.956s,22
18,31,Esteban OconOCO,Haas,+2.051s,19
19,7,Jack DoohanDOO,Alpine,+2.229s,22
20,18,Lance StrollSTR,Aston Martin,+2.234s,21
