POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:13.718,29
2,1,Max VerstappenVER,Red Bull Racing,+0.367s,18
3,44,Lewis HamiltonHAM,Ferrari,+0.378s,29
4,16,Charles LeclercLEC,Ferrari,+0.520s,31
5,81,Oscar PiastriPIA,McLaren,+0.576s,28
6,30,Liam LawsonLAW,Racing Bulls,+0.621s,28
7,87,Oliver BearmanBEA,Haas,+0.879s,26
8,6,Isack HadjarHAD,Racing Bulls,+0.887s,26
9,22,Yuki TsunodaTSU,Red Bull Racing,+0.925s,27
10,10,Pierre GaslyGAS,Alpine,+1.028s,28
11,63,George RussellRUS,Mercedes,+1.033s,32
12,18,Lance StrollSTR,Aston Martin,+1.068s,24
13,14,Fernando AlonsoALO,Aston Martin,+1.080s,20
14,27,Nico HulkenbergHUL,Kick Sauber,+1.147s,21
15,55,Carlos SainzSAI,Williams,+1.217s,26
16,5,Gabriel BortoletoBOR,Kick Sauber,+1.437s,23
17,50,Ryo HirakawaHIR,Haas,+1.580s,23
18,12,Kimi AntonelliANT,Mercedes,+1.651s,31
19,45,Victor MartinsMAR,Williams,+1.804s,26
20,43,Franco ColapintoCOL,Alpine,+1.812s,19
