POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,16,Charles LeclercLEC,Ferrari,1:11.964,33
2,1,Max VerstappenVER,Red Bull Racing,+0.163s,30
3,4,Lando NorrisNOR,McLaren,+0.326s,32
4,23,Alexander AlbonALB,Williams,+0.350s,33
5,81,Oscar PiastriPIA,McLaren,+0.378s,28
6,63,George RussellRUS,Mercedes,+0.518s,33
7,55,Carlos SainzSAI,Williams,+0.570s,36
8,10,Pierre GaslyGAS,Alpine,+0.705s,29
9,44,Lewis HamiltonHAM,Ferrari,+0.726s,30
10,14,Fernando AlonsoALO,Aston Martin,+0.763s,28
11,12,Kimi AntonelliANT,Mercedes,+0.801s,34
12,27,Nico HulkenbergHUL,Kick Sauber,+1.015s,30
13,6,Isack HadjarHAD,Racing Bulls,+1.223s,35
14,22,Yuki TsunodaTSU,Red Bull Racing,+1.268s,32
15,87,Oliver BearmanBEA,Haas,+1.365s,34
16,31,Esteban OconOCO,Haas,+1.430s,31
17,30,Liam LawsonLAW,Racing Bulls,+1.465s,37
18,5,Gabriel BortoletoBOR,Kick Sauber,+1.506s,29
19,43,Franco ColapintoCOL,Alpine,+1.856s,32
20,18,Lance StrollSTR,Aston Martin,+3.671s,4
