POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,44,Lewis HamiltonHAM,Ferrari,1:20.117,20
2,16,Charles LeclercLEC,Ferrari,+0.169s,24
3,55,Carlos SainzSAI,Williams,+0.533s,25
4,1,Max VerstappenVER,Red Bull Racing,+0.575s,22
5,12,Kimi AntonelliANT,Mercedes,+0.823s,25
6,4,Lando NorrisNOR,McLaren,+0.904s,28
7,23,Alexander AlbonALB,Williams,+0.956s,25
8,63,George RussellRUS,Mercedes,+0.993s,20
9,14,Fernando AlonsoALO,Aston Martin,+0.997s,20
10,6,Isack HadjarHAD,Racing Bulls,+1.041s,25
11,5,Gabriel BortoletoBOR,Kick Sauber,+1.055s,24
12,27,Nico HulkenbergHUL,Kick Sauber,+1.062s,26
13,30,Liam LawsonLAW,Racing Bulls,+1.084s,27
14,22,Yuki TsunodaTSU,Red Bull Racing,+1.175s,24
15,18,Lance StrollSTR,Aston Martin,+1.178s,26
16,89,Alexander DunneDUN,McLaren,+1.489s,26
17,31,Esteban OconOCO,Haas,+1.525s,22
18,10,Pierre GaslyGAS,Alpine,+1.536s,26
19,87,Oliver BearmanBEA,Haas,+1.941s,23
20,61,Paul AronARO,Alpine,+2.036s,23
