POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:28.549,24
2,63,George RussellRUS,Mercedes,+0.163s,29
3,16,Charles LeclercLEC,Ferrari,+0.416s,27
4,44,Lewis HamiltonHAM,Ferrari,+0.502s,25
5,1,Max VerstappenVER,Red Bull Racing,+0.516s,23
6,22,Yuki TsunodaTSU,Red Bull Racing,+0.623s,25
7,14,Fernando AlonsoALO,Aston Martin,+0.673s,25
8,6,Isack HadjarHAD,Racing Bulls,+0.676s,28
9,12,Kimi AntonelliANT,Mercedes,+0.735s,28
10,55,Carlos SainzSAI,Williams,+0.784s,28
11,23,Alexander AlbonALB,Williams,+0.843s,25
12,62,Ryo HirakawaHIR,Alpine,+0.845s,24
13,30,Liam LawsonLAW,Racing Bulls,+0.987s,28
14,10,Pierre GaslyGAS,Alpine,+0.998s,23
15,81,Oscar PiastriPIA,McLaren,+1.159s,25
16,18,Lance StrollSTR,Aston Martin,+1.209s,25
17,27,Nico HulkenbergHUL,Kick Sauber,+1.474s,21
18,87,Oliver BearmanBEA,Haas,+1.528s,17
19,31,Esteban OconOCO,Haas,+1.574s,21
20,5,Gabriel BortoletoBOR,Kick Sauber,+1.598s,26
