POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,44,Lewis HamiltonHAM,Ferrari,1:26.892,26
2,4,Lando NorrisNOR,McLaren,+0.023s,26
3,81,Oscar PiastriPIA,McLaren,+0.150s,28
4,16,Charles LeclercLEC,Ferrari,+0.203s,26
5,63,George RussellRUS,Mercedes,+0.271s,25
6,6,Isack HadjarHAD,Racing Bulls,+0.325s,28
7,23,Alexander AlbonALB,Williams,+0.412s,30
8,30,Liam LawsonLAW,Racing Bulls,+0.459s,27
9,12,Kimi AntonelliANT,Mercedes,+0.475s,25
10,1,Max VerstappenVER,Red Bull Racing,+0.540s,26
11,14,Fernando AlonsoALO,Aston Martin,+0.786s,24
12,18,Lance StrollSTR,Aston Martin,+0.952s,22
13,55,Carlos SainzSAI,Williams,+1.017s,26
14,36,Arvid LindbladLIN,Red Bull Racing,+1.066s,22
15,31,Esteban OconOCO,Haas,+1.165s,23
16,43,Franco ColapintoCOL,Alpine,+1.194s,27
17,97,Paul AronARO,Kick Sauber,+1.250s,25
18,87,Oliver BearmanBEA,Haas,+1.255s,24
19,10,Pierre GaslyGAS,Alpine,+1.440s,23
20,5,Gabriel BortoletoBOR,Kick Sauber,+1.505s,23
