POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,81,Oscar PiastriPIA,McLaren,1:42.022,23
2,1,Max VerstappenVER,Red Bull Racing,+0.404s,23
3,4,Lando NorrisNOR,McLaren,+0.504s,22
4,63,George RussellRUS,Mercedes,+0.576s,27
5,16,Charles LeclercLEC,Ferrari,+0.906s,22
6,12,Kimi AntonelliANT,Mercedes,+0.957s,23
7,44,Lewis HamiltonHAM,Ferrari,+1.063s,24
8,18,Lance StrollSTR,Aston Martin,+1.090s,17
9,14,Fernando AlonsoALO,Aston Martin,+1.098s,22
10,6,Isack HadjarHAD,Racing Bulls,+1.100s,19
11,55,Carlos SainzSAI,Williams,+1.195s,16
12,23,Alexander AlbonALB,Williams,+1.239s,24
13,5,Gabriel BortoletoBOR,Kick Sauber,+1.240s,25
14,27,Nico HulkenbergHUL,Kick Sauber,+1.448s,20
15,30,Liam LawsonLAW,Racing Bulls,+1.456s,21
16,31,Esteban OconOCO,Haas,+1.548s,22
17,10,Pierre GaslyGAS,Alpine,+1.907s,21
18,22,Yuki TsunodaTSU,Red Bull Racing,+2.470s,23
19,43,Franco ColapintoCOL,Alpine,+2.825s,21
20,87,Oliver BearmanBEA,Haas,+3.055s,22
