Pos.,No.,Driver,Team,Time / Gap,Laps
1,14,Fernando AlonsoALO,Aston Martin,1:31.116,23
2,16,Charles LeclercLEC,Ferrari,+0.150s,25
3,1,Max VerstappenVER,Red Bull Racing,+0.276s,24
4,44,Lewis HamiltonHAM,Ferrari,+0.364s,23
5,81,Oscar PiastriPIA,McLaren,+0.365s,25
6,4,Lando NorrisNOR,McLaren,+0.582s,22
7,6,Isack HadjarHAD,Racing Bulls,+0.639s,28
8,55,Carlos SainzSAI,Williams,+0.696s,27
9,22,Yuki TsunodaTSU,Red Bull Racing,+0.744s,25
10,31,Esteban OconOCO,Haas F1 Team,+1.012s,24
11,63,George RussellRUS,Mercedes,+1.023s,22
12,27,Nico HulkenbergHUL,Kick Sauber,+1.199s,29
13,10,Pierre GaslyGAS,Alpine,+1.262s,26
14,12,Kimi AntonelliANT,Mercedes,+1.283s,24
15,30,Liam LawsonLAW,Racing Bulls,+1.345s,27
16,87,Oliver BearmanBEA,Haas F1 Team,+1.422s,25
17,5,Gabriel BortoletoBOR,Kick Sauber,+1.495s,27
18,18,Lance StrollSTR,Aston Martin,+1.918s,18
19,43,Franco ColapintoCOL,Alpine,+2.208s,26
20,23,Alexander AlbonALB,Williams,,2
