POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:10.278,35
2,81,Oscar PiastriPIA,McLaren,+0.292s,32
3,18,Lance StrollSTR,Aston Martin,+0.501s,25
4,14,Fernando AlonsoALO,Aston Martin,+0.563s,25
5,23,Alexander AlbonALB,Williams,+0.893s,33
6,1,Max VerstappenVER,Red Bull Racing,+0.940s,24
7,63,George RussellRUS,Mercedes,+1.108s,29
8,55,Carlos SainzSAI,Williams,+1.180s,33
9,5,Gabriel BortoletoBOR,Kick Sauber,+1.231s,30
10,10,Pierre GaslyGAS,Alpine,+1.335s,30
11,30,Liam LawsonLAW,Racing Bulls,+1.475s,29
12,6,Isack HadjarHAD,Racing Bulls,+1.494s,30
13,27,Nico HulkenbergHUL,Kick Sauber,+1.597s,30
14,16,Charles LeclercLEC,Ferrari,+1.673s,32
15,44,Lewis HamiltonHAM,Ferrari,+1.682s,28
16,22,Yuki TsunodaTSU,Red Bull Racing,+1.848s,24
17,31,Esteban OconOCO,Haas,+1.866s,29
18,43,Franco ColapintoCOL,Alpine,+1.998s,27
19,87,Oliver BearmanBEA,Haas,+2.286s,30
20,12,Kimi AntonelliANT,Mercedes,+3.997s,6
