POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:42.704,19
2,81,Oscar PiastriPIA,McLaren,+0.310s,14
3,16,Charles LeclercLEC,Ferrari,+0.552s,17
4,63,George RussellRUS,Mercedes,+0.553s,16
5,23,Alexander AlbonALB,Williams,+0.859s,17
6,22,Yuki TsunodaTSU,Red Bull Racing,+1.034s,16
7,1,Max VerstappenVER,Red Bull Racing,+1.086s,15
8,55,Carlos SainzSAI,Williams,+1.155s,17
9,30,Liam LawsonLAW,Racing Bulls,+1.199s,17
10,6,Isack HadjarHAD,Racing Bulls,+1.271s,17
11,12,Kimi AntonelliANT,Mercedes,+1.281s,17
12,27,Nico HulkenbergHUL,Kick Sauber,+1.282s,18
13,44,Lewis HamiltonHAM,Ferrari,+1.383s,14
14,5,Gabriel BortoletoBOR,Kick Sauber,+1.383s,18
15,14,Fernando AlonsoALO,Aston Martin,+1.435s,15
16,87,Oliver BearmanBEA,Haas,+1.447s,17
17,18,Lance StrollSTR,Aston Martin,+1.625s,15
18,31,Esteban OconOCO,Haas,+1.735s,15
19,43,Franco ColapintoCOL,Alpine,+2.595s,14
20,10,Pierre GaslyGAS,Alpine,+2.714s,17
