POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:16.052,26
2,81,Oscar PiastriPIA,McLaren,+0.019s,30
3,16,Charles LeclercLEC,Ferrari,+0.217s,28
4,6,Isack HadjarHAD,Racing Bulls,+0.629s,31
5,44,Lewis HamiltonHAM,Ferrari,+0.682s,28
6,87,Oliver BearmanBEA,Haas,+0.826s,26
7,12,Kimi AntonelliANT,Mercedes,+0.828s,26
8,63,George RussellRUS,Mercedes,+0.873s,26
9,1,Max VerstappenVER,Red Bull Racing,+0.888s,25
10,18,Lance StrollSTR,Aston Martin,+0.906s,25
11,23,Alexander AlbonALB,Williams,+0.932s,28
12,31,Esteban OconOCO,Haas,+0.952s,26
13,10,Pierre GaslyGAS,Alpine,+1.071s,27
14,30,Liam LawsonLAW,Racing Bulls,+1.132s,29
15,55,Carlos SainzSAI,Williams,+1.143s,31
16,34,Felipe DrugovichDRU,Aston Martin,+1.217s,26
17,22,Yuki TsunodaTSU,Red Bull Racing,+1.341s,27
18,43,Franco ColapintoCOL,Alpine,+1.412s,29
19,5,Gabriel BortoletoBOR,Kick Sauber,+1.600s,17
20,97,Paul AronARO,Kick Sauber,+3.736s,9
