POS.,NO.,DRIVER,TEAM,TIME / GAP,LAPS
1,4,Lando NorrisNOR,McLaren,1:33.204,23
2,10,Pierre GaslyGAS,Alpine,+0.238s,23
3,44,Lewis HamiltonHAM,Ferrari,+0.596s,23
4,23,Alexander AlbonALB,Williams,+0.724s,24
5,31,Esteban OconOCO,Haas,+0.980s,19
6,27,Nico HulkenbergHUL,Kick Sauber,+1.058s,24
7,7,Jack DoohanDOO,Alpine,+1.192s,23
8,30,Liam LawsonLAW,Racing Bulls,+1.193s,23
9,22,Yuki TsunodaTSU,Red Bull Racing,+1.280s,23
10,81,Oscar PiastriPIA,McLaren,+1.304s,25
11,5,Gabriel BortoletoBOR,Kick Sauber,+1.424s,23
12,6,Isack HadjarHAD,Racing Bulls,+1.463s,22
13,46,Luke BrowningBRO,Williams,+1.681s,20
14,38,Dino BeganovicBEG,Ferrari,+1.851s,20
15,18,Lance StrollSTR,Aston Martin,+1.912s,23
16,34,Felipe DrugovichDRU,Aston Martin,+1.994s,19
17,50,Ryo HirakawaHIR,Haas,+2.057s,20
18,72,Frederik VestiVES,Mercedes,+2.121s,26
19,37,Ayumu IwasaIWA,Red Bull Racing,+2.271s,20
20,12,Kimi AntonelliANT,Mercedes,+4.847s,3
